tsebe	ts> E b E
kholetšheng	kh O l E tSh E N
mathuding	m a th u d i N
tlhaeletsanong	tlh a E l E ts> a n O N
thatathata	th a t> a th a t> a
rulagangwa	r u l a x a N w a
rua	r u a
phaa	ph a a
bothong	b O th O N
ditekeletso	d i t> E k> E l E ts> O
supiwa	s u p> i w a
ipusolosetso	i p> u s O l O s E ts> O
malebela	m a l E b E l a
kgaitsadia	kx a i ts> a d i a
tlhoafalang	tlh O a f a l a N
eteleditse	E t> E l E d i ts> E
metlapa	m E tl> a p> a
balekanyetsi	b a l E k> a J E ts> i
sokamisang	s O k> a m i s a N
lekeng	l E k> E N
atolosiwang	a t> O l O s i w a N
bolola	b O l O l a
bonto	b O n t> O
manno	m a n n O
neelang	n E E l a N
baamogeding	b a m O x E d i N
tumelanong	t> u m E l a n O N
lekala	l E k> a l a
tetesela	t> E t> E s E l a
nthuse	n th u s E
lenaanefoko	l E n a n E f O k> O
ntshana	n tsh a n a
sutiseditsweng	s u t> i s E d i ts> w E N
phetiso	ph E t> i s O
bokhutlo	b O kh u tl> O
buisaneng	b u i s a n E N
utlwale	u tl> w a l E
leditseng	l E d i ts> E N
mpateletsa	m p> a t> E l E ts> a
kabakanye	k> a b a k> a J E
obamela	O b a m E l a
bobi	b O b i
tlhakanelo	tlh a k> a n E l O
moreki	m O r E k> i
magosi	m a x O s i
tirokgolo	t> i r O kx O l O
moagisani	m O a x i s a n i
ntsifalo	n ts> i f a l O
bokone	b O k> O n E
moratiwa	m O r a t> i w a
beibeleng	b E i b E l E N
tlhagiseditsweng	tlh a x i s E d i ts> w E N
ima	i m a
loruong	l O r u O N
mefuteng	m E f u t> E N
tlhometseng	tlh O m E ts> E N
ntlhaloganya	n tlh a l O x a J a
kgalalelo	kx a l a l E l O
kgaitsadiake	kx a i ts> a d i a k> E
tshwaraganetswe	tsh w a r a x a n E ts> w E
bolaya	b O l a j a
khurumele	kh u r u m E l E
lekgetlo	l E kx E tl> O
gasagasang	x a s a x a s a N
kgotsofaditse	kx O ts> O f a d i ts> E
etleediwang	E tl> E E d i w a N
ditshweu	d i tsh w E u
rerilwe	r E r i l w E
makubu	m a k> u b u
boithutelo	b O i th u t> E l O
mmuso	m m u s O
tlhafuniwang	tlh a f u n i w a N
nnisega	n n i s E x a
letsang	l E ts> a N
borona	b O r O n a
dijana	d i d0Z a n a
peo	p> E O
raraana	r a r a n a
buiseng	b u i s E N
bogorogelong	b O x O r O x E l O N
motswantle	m O ts> w a n tl> E
tlisitseng	tl> i s i ts> E N
magologolo	m a x O l O x O l O
tlhalosiwe	tlh a l O s i w E
lobakanyana	l O b a k> a J a n a
itlhatlhoba	i tlh a tlh O b a
dikamoreng	d i k> a m O r E N
kgabagantse	kx a b a x a n ts> E
itlhagisa	i tlh a x i s a
batlwa	b a tl> w a
salwa	s a l w a
noga	n O x a
sekai	s E k> a i
setlela	s E tl> E l a
mpa	m p> a
baakanyetsang	b a k> a J E ts> a N
boenjenere	b O E n d0Z E n E r E
fetogeng	f E t> O x E N
makoko	m a k> O k> O
baokamedi	b a O k> a m E d i
gatake	x a t> a k> E
tshwaraganetsweng	tsh w a r a x a n E ts> w E N
tlhatlhama	tlh a tlh a m a
tlhakatlhakantswe	tlh a k> a tlh a k> a n ts> w E
tlhaloseditsweng	tlh a l O s E d i ts> w E N
lebisiwa	l E b i s i w a
nathela	n a th E l a
ithusa	i th u s a
dinamanyane	d i n a m a J a n E
moadingwa	m O a d i N w a
kgotlapeomolaong	kx O tl> a p> E O m O l a O N
matshwenyegong	m a tsh w E J E x O N
kwalweng	k> w a l w E N
tsweletso	ts> w E l E ts> O
kokoro	k> O k> O r O
lemositswe	l E m O s i ts> w E
melaetsa	m E l a E ts> a
gobeleleng	x O b E l E l E N
maanong	m a n O N
rwesiwang	r w E s i w a N
dikopo	d i k> O p> O
mookana	m O O k> a n a
bophiri	b O ph i r i
melang	m E l a N
latlhela	l a tlh E l a
tshokane	tsh O k> a n E
ikepela	i k> E p> E l a
bosetšhabeng	b O s E tSh a b E N
tlhofofatseng	tlh O f O f a ts> E N
tlhokafaleng	tlh O k> a f a l E N
saletswe	s a l E ts> w E
mafora	m a f O r a
moanelwamogolo	m O a n E l w a m O x O l O
etswe	E ts> w E
segompieno	s E x O m p> i E n O
ntloboithusetso	n tl> O b O i th u s E ts> O
tlhagile	tlh a x i l E
fitlhe	f i tlh E
tlhagelelang	tlh a x E l E l a N
fotlhwa	f O tlh w a
ngweding	N w E d i N
bagabona	b a x a b O n a
fopholetsa	f O ph O l E ts> a
siamisitse	s i a m i s i ts> E
morwao	m O r w a O
boelediwang	b O E l E d i w a N
lentswetshipi	l E n ts> w E tsh i p> i
morongwa	m O r O N w a
folaga	f O l a x a
dibasari	d i b a s a r i
logato	l O x a t> O
huhumela	h u h u m E l a
tokafetseng	t> O k> a f E ts> E N
utswiwa	u ts> w i w a
diseleng	d i s E l E N
dithaelo	d i th a E l O
ntuela	n t> u E l a
kgwathisa	kx w a th i s a
amogela	a m O x E l a
thadile	th a d i l E
tatlho	t> a tlh O
rulaganyeditsweng	r u l a x a J E d i ts> w E N
bopodisi	b O p> O d i s i
tshikintsweng	tsh i k> i n ts> w E N
letlwa	l E tl> w a
tshusumetso	tsh u s u m E ts> O
ikoketsa	i k> O k> E ts> a
sekgoeng	s E kx O E N
tswetsweng	ts> w E ts> w E N
ama	a m a
tlhomelong	tlh O m E l O N
sesheng	s E s E N
dipolaseng	d i p> O l a s E N
aperweng	a p> E r w E N
dirisiwe	d i r i s i w E
dišereng	d i S E r E N
lebowa	l E b O w a
pateletsa	p> a t> E l E ts> a
kgang	kx a N
metšhini	m E tSh i n i
falola	f a l O l a
fediseng	f E d i s E N
nkabo	n k> a b O
bokima	b O k> i m a
nyorwa	J O r w a
lefetlho	l E f E tlh O
netefadiwa	n E t> E f a d i w a
bokile	b O k> i l E
kgoboko	kx O b O k> O
nkise	n k> i s E
digokedi	d i x O k> E d i
iwa	i w a
ditlhatlhobong	d i tlh a tlh O b O N
tsa	ts> a
phesente	ph E s E n t> E
tennyana	t> E n J a n a
tlwaela	tl> w a E l a
letlhakanoka	l E tlh a k> a n O k> a
lekalekanya	l E k> a l E k> a J a
ikaya	i k> a j a
motsamaong	m O ts> a m a O N
refosana	r E f O s a n a
senyang	s E J a N
ganelwang	x a n E l w a N
bongapa	b O N a p> a
kgama	kx a m a
sitisang	s i t> i s a N
dikgomong	d i kx O m O N
pharuma	ph a r u m a
konetsweng	k> O n E ts> w E N
tlayang	tl> a j a N
kwalelano	k> w a l E l a n O
sesiraphefo	s E s i r a ph E f O
melemong	m E l E m O N
rutweng	r u t> w E N
kamego	k> a m E x O
rulagangwang	r u l a x a N w a N
mpana	m p> a n a
gontlentle	x O n tl> E n tl> E
matheka	m a th E k> a
pateletso	p> a t> E l E ts> O
kologanya	k> O l O x a J a
terama	t> E r a m a
thapolo	th a p> O l O
bosengbofitlha	b O s E N b O f i tlh a
lemogwa	l E m O x w a
mpaola	m p> a O l a
ipueletse	i p> u E l E ts> E
golaganang	x O l a x a n a N
bopalamelo	b O p> a l a m E l O
fodisiwa	f O d i s i w a
ikwatlhaya	i k> w a tlh a j a
bogisiwa	b O x i s i w a
dikgoro	d i kx O r O
moapari	m O a p> a r i
sekopa	s E k> O p> a
nonotsha	n O n O tsh a
thuba	th u b a
peong	p> E O N
kgwisiwang	kx w i s i w a N
tsweletsapele	ts> w E l E ts> a p> E l E
dikima	d i k> i m a
jenaleng	d0Z E n a l E N
marukgwe	m a r u kx w E
lonyatso	l O J a ts> O
jeleng	d0Z E l E N
rutla	r u tl> a
akanyeditseng	a k> a J E d i ts> E N
rothile	r O th i l E
phaposiborutelo	ph a p> O s i b O r u t> E l O
apesa	a p> E s a
godiseditse	x O d i s E d i ts> E
ntomeletsa	n t> O m E l E ts> a
polata	p> O l a t> a
tshwaiso	tsh w a i s O
bomosola	b O m O s O l a
boitshwarelo	b O i tsh w a r E l O
tlholego	tlh O l E x O
sekolosegolong	s E k> O l O s E x O l O N
bonolo	b O n O l O
maidi	m a i d i
mekhukhu	m E kh u kh u
bontsintsi	b O n ts> i n ts> i
didiba	d i d i b a
ikemela	i k> E m E l a
kana	k> a n a
tlhobogela	tlh O b O x E l a
ikarabele	i k> a r a b E l E
senya	s E J a
boiphemelo	b O i ph E m E l O
bonnete	b O n n E t> E
rakalala	r a k> a l a l a
bophasalatsi	b O ph a s a l a ts> i
phutholola	ph u th O l O l a
moakanyetso	m O a k> a J E ts> O
ikgethela	i kx E th E l a
hularetseng	h u l a r E ts> E N
tlisiwang	tl> i s i w a N
gobala	x O b a l a
molemi	m O l E m i
phepafaditswe	ph E p> a f a d i ts> w E
porofaele	p> O r O f a E l E
totilweng	t> O t> i l w E N
kgatshe	kx a tsh E
tafole	t> a f O l E
dikuranteng	d i k> u r a n t> E N
tshoganyetso	tsh O x a J E ts> O
kgarametsa	kx a r a m E ts> a
bokwadisetso	b O k> w a d i s E ts> O
forong	f O r O N
masisi	m a s i s i
kopanyeng	k> O p> a J E N
ditiragatsong	d i t> i r a x a ts> O N
simologa	s i m O l O x a
sirang	s i r a N
hemelwa	h E m E l w a
kgakgauthe	kx a kx a u th E
tlamele	tl> a m E l E
diile	d i i l E
polelwanakutu	p> O l E l w a n a k> u t> u
kgokaganyo	kx O k> a x a J O
diposong	d i p> O s O N
quilt	k> w i l t>
nosetso	n O s E ts> O
khutsafalo	kh u ts> a f a l O
dikerekeng	d i k> E r E k> E N
tlhaselo	tlh a s E l O
bobolokelong	b O b O l O k> E l O N
etelelwa	E t> E l E l w a
ipateletse	i p> a t> E l E ts> E
mathaithai	m a th a i th a i
gogolang	x O x O l a N
letlojaneng	l E tl> O d0Z a n E N
dithulaganyetso	d i th u l a x a J E ts> O
kopokgolo	k> O p> O kx O l O
fetogafetoga	f E t> O x a f E t> O x a
arogangwa	a r O x a N w a
selekanyetsi	s E l E k> a J E ts> i
rekeng	r E k> E N
boapeelo	b O a p> E E l O
ranotsweng	r a n O ts> w E N
garumela	x a r u m E l a
bosweng	b O s w E N
logiwa	l O x i w a
gonnye	x O n J E
romeletswe	r O m E l E ts> w E
emeletseng	E m E l E ts> E N
sena	s E n a
metale	m E t> a l E
ditlhakaina	d i tlh a k> a i n a
hoko	h O k> O
itlhoboge	i tlh O b O x E
sepodisi	s E p> O d i s i
tlotlomatsa	tl> O tl> O m a ts> a
majang	m a d0Z a N
lebeletse	l E b E l E ts> E
tlwaetswa	tl> w a E ts> w a
tshwaye	tsh w a j E
sebolai	s E b O l a i
atlhame	a tlh a m E
ikutlwe	i k> u tl> w E
ketsaetsego	k> E ts> a E ts> E x O
berekela	b E r E k> E l a
entisa	E n t> i s a
bophepa	b O ph E p> a
seakatemi	s E a k> a t> E m i
rwalang	r w a l a N
reilweng	r E i l w E N
dipoleite	d i p> O l E i t> E
motlatla	m O tl> a tl> a
nnyatsa	n J a ts> a
fentseng	f E n ts> E N
moleng	m O l E N
tshikinngwang	tsh i k> i n N w a N
latelanye	l a t> E l a J E
salela	s a l E l a
sira	s i r a
mogala	m O x a l a
ipolela	i p> O l E l a
seša	s E S a
balekeletsi	b a l E k> E l E ts> i
pinyelediwa	p> i J E l E d i w a
biditse	b i d i ts> E
diega	d i E x a
letla	l E tl> a
tlhamalalang	tlh a m a l a l a N
khutlisa	kh u tl> i s a
thotloetso	th O tl> O E ts> O
fokoditswe	f O k> O d i ts> w E
latela	l a t> E l a
lefatshe	l E f a tsh E
mmalwanyana	m m a l w a J a n a
engwa	E N w a
tiisediwa	t> i i s E d i w a
lebelelwe	l E b E l E l w E
boutetseng	b O u t> E ts> E N
itumelelana	i t> u m E l E l a n a
tekanong	t> E k> a n O N
minolosetsa	m i n O l O s E ts> a
baagelani	b a x E l a n i
dithole	d i th O l E
serobing	s E r O b i N
kgwatata	kx w a t> a t> a
tumedi	t> u m E d i
kaetso	k> a E ts> O
kgweding	kx w E d i N
theiwe	th E i w E
setimela	s E t> i m E l a
malwetseng	m a l w E ts> E N
dinoga	d i n O x a
tshwareng	tsh w a r E N
boranti	b O r a n t> i
matlapeng	m a tl> a p> E N
thaelong	th a E l O N
ganwa	x a n w a
motogo	m O t> O x O
dipalangwang	d i p> a l a N w a N
dirilwe	d i r i l w E
maemelo	m a E m E l O
potlana	p> O tl> a n a
bahumanegi	b a h u m a n E x i
majwe	m a d0Z w E
utlwanang	u tl> w a n a N
tumalanong	t> u m a l a n O N
khabone	kh a b O n E
resepi	r E s E p> i
kwalwe	k> w a l w E
bonota	b O n O t> a
pata	p> a t> a
disenke	d i s E n k> E
tshelelang	tsh E l E l a N
masalela	m a s a l E l a
diruiweng	d i r u i w E N
fosagetse	f O s a x E ts> E
maeto	m a E t> O
itshietse	i tsh i E ts> E
selonyana	s E l O J a n a
boloditswe	b O l O d i ts> w E
banake	b a n a k> E
alafang	a l a f a N
morara	m O r a r a
sekale	s E k> a l E
dinoko	d i n O k> O
nwaa	n w a
setlhokwa	s E tlh O k> w a
idibatsa	i d i b a ts> a
moila	m O i l a
ditoropokgolo	d i t> O r O p> O kx O l O
sebofo	s E b O f O
ngwagang	N w a x a N
besa	b E s a
phoko	ph O k> O
leuba	l E u b a
pono	p> O n O
rulaganya	r u l a x a J a
kgaoganyeng	kx a O x a J E N
lomaganeng	l O m a x a n E N
matsobane	m a ts> O b a n E
tsurama	ts> u r a m a
mesele	m E s E l E
taolelong	t> a O l E l O N
ipopileng	i p> O p> i l E N
fatlhoga	f a tlh O x a
dirolola	d i r O l O l a
ditlhatlhobo	d i tlh a tlh O b O
nyalelane	J a l E l a n E
tletse	tl> E ts> E
totobala	t> O t> O b a l a
kwadise	k> w a d i s E
buisa	b u i s a
dinakong	d i n a k> O N
eleletse	E l E l E ts> E
temoso	t> E m O s O
robalang	r O b a l a N
tiiseditsweng	t> i i s E d i ts> w E N
utswe	u ts> w E
dithebe	d i th E b E
kwalwang	k> w a l w a N
boitlamo	b O i tl> a m O
senotlolo	s E n O tl> O l O
jele	d0Z E l E
thubilweng	th u b i l w E N
reise	r E i s E
dikgogakgogano	d i kx O x a kx O x a n O
dikonteraka	d i k> O n t> E r a k> a
memorantamo	m E m O r a n t> a m O
tlalelediwa	tl> a l E l E d i w a
utlwaleng	u tl> w a l E N
khonkerese	kh O n k> E r E s E
tshwarong	tsh w a r O N
kgwisang	kx w i s a N
thatafalo	th a t> a f a l O
mennye	m E n J E
ditlwaelo	d i tl> w a E l O
makgati	m a kx a t> i
mosading	m O s a d i N
meono	m E O n O
ditšhipisi	d i tSh i p> i s i
gwantisiwa	x w a n t> i s i w a
kgogo	kx O x O
tharong	th a r O N
ikgethelwang	i kx E th E l w a N
boitlhophelong	b O i tlh O ph E l O N
ditoropokgolong	d i t> O r O p> O kx O l O N
dimentlele	d i m E n tl> E l E
methalethale	m E th a l E th a l E
sebatanyana	s E b a t> a J a n a
itshwenyetsang	i tsh w E J E ts> a N
aroganya	a r O x a J a
konotelelwa	k> O n O t> E l E l w a
matshosetsi	m a tsh O s E ts> i
legano	l E x a n O
borukhutlhi	b O r u kh u tlh i
agetswe	a x E ts> w E
mediriso	m E d i r i s O
ditheiboleng	d i th E i b O l E N
latedisiwa	l a t> E d i s i w a
sekapuo	s E k> a p> u O
mekwalo	m E k> w a l O
tlhaloso	tlh a l O s O
lepalepanya	l E p> a l E p> a J a
balega	b a l E x a
lesego	l E s E x O
terene	t> E r E n E
mohubu	m O h u b u
diphirimisi	d i ph i r i m i s i
buiwe	b u i w E
moalong	m O a l O N
sisa	s i s a
tlhophile	tlh O ph i l E
digoro	d i x O r O
belegwe	b E l E x w E
ditlontlokwane	d i tl> O n tl> O k> w a n E
tlhatlhobotsweledi	tlh a tlh O b O ts> w E l E d i
kerekeng	k> E r E k> E N
ntira	n t> i r a
ditshoswane	d i tsh O s w a n E
boithusetso	b O i th u s E ts> O
kgatlhisang	kx a tlh i s a N
dithoko	d i th O k> O
kgwageditsweng	kx w a x E d i ts> w E N
akanngwa	a k> a n N w a
intshwarele	i n tsh w a r E l E
thusang	th u s a N
pontsheng	p> O n tsh E N
bodisa	b O d i s a
mekamekana	m E k> a m E k> a n a
tshepa	tsh E p> a
mokwalong	m O k> w a l O N
sekwa	s E k> w a
maitisong	m a i t> i s O N
lenga	l E N a
tlasetlase	tl> a s E tl> a s E
kgotso	kx O ts> O
begegang	b E x E x a N
mananeo	m a n a n E O
meraferafe	m E r a f E r a f E
agwang	a x w a N
kasete	k> a s E t> E
dibukana	d i b u k> a n a
emetse	E m E ts> E
tshitsinya	tsh i ts> i J a
bagokolodi	b a x O k> O l O d i
ditekeletsong	d i t> E k> E l E ts> O N
kgaphela	kx a ph E l a
opile	O p> i l E
itlhaole	i tlh a O l E
kgotetso	kx O t> E ts> O
ngongoregelang	N O N O r E x E l a N
thuthusa	th u th u s a
dumeleng	d u m E l E N
matlholaadibona	m a tlh O l a d i b O n a
tloliwa	tl> O l i w a
moeteledipele	m O E t> E l E d i p> E l E
botshwaro	b O tsh w a r O
patelelo	p> a t> E l E l O
thapa	th a p> a
leanong	l E a n O N
etelelang	E t> E l E l a N
swetseng	s w E ts> E N
ntshiweng	n tsh i w E N
manyalong	m a J a l O N
diragalela	d i r a x a l E l a
sukiri	s u k> i r i
pakang	p> a k> a N
methapong	m E th a p> O N
koafatse	k> O a f a ts> E
bofitlha	b O f i tlh a
ganetsa	x a n E ts> a
rogana	r O x a n a
pitseng	p> i ts> E N
menogang	m E n O x a N
tlhomilwe	tlh O m i l w E
bathusi	b a th u s i
mohiri	m O h i r i
nkeme	n k> E m E
masakaneng	m a s a k> a n E N
fitlhetseng	f i tlh E ts> E N
dielong	d i E l O N
tshingwana	tsh i N w a n a
romelwa	r O m E l w a
kgotlhelela	kx O tlh E l E l a
motsing	m O ts> i N
setlhako	s E tlh a k> O
bobueledi	b O b u E l E d i
maitlhomong	m a i tlh O m O N
loago	l O a x O
maikemisetsong	m a i k> E m i s E ts> O N
makgotlatoropo	m a kx O tl> a t> O r O p> O
salang	s a l a N
sebela	s E b E l a
malapa	m a l a p> a
hoteleng	h O t> E l E N
rudisa	r u d i s a
ithutiwa	i th u t> i w a
boletse	b O l E ts> E
matiriki	m a t> i r i k> i
tshwengwa	tsh w E N w a
boronse	b O r O n s E
mongongoregi	m O N O N O r E x i
peterole	p> E t> E r O l E
fenitšhara	f E n i tSh a r a
bodiwang	b O d i w a N
ithata	i th a t> a
foufaditswe	f O u f a d i ts> w E
swediwa	s w E d i w a
mebarakeng	m E b a r a k> E N
emelanang	E m E l a n a N
kagiso	k> a x i s O
senyegileng	s E J E x i l E N
phologo	ph O l O x O
moolwana	m O O l w a n a
tshika	tsh i k> a
lemogeng	l E m O x E N
betlilweng	b E tl> i l w E N
tlaare	tl> a r E
bakeresete	b a k> E r E s E t> E
bookamedi	b O O k> a m E d i
mašwa	m a S w a
dubisa	d u b i s a
goregore	x O r E x O r E
mpolaisang	m p> O l a i s a N
bolennye	b O l E n J E
thibego	th i b E x O
ditumelelano	d i t> u m E l E l a n O
supiwang	s u p> i w a N
mabapi	m a b a p> i
diphapogo	d i ph a p> O x O
dikapolo	d i k> a p> O l O
forogotlha	f O r O x O tlh a
saeniwa	s a E n i w a
gelele	x E l E l E
isa	i s a
akarediwa	a k> a r E d i w a
thulaganya	th u l a x a J a
dikhilometara	d i kh i l O m E t> a r a
fisioterapi	f i s i O t> E r a p> i
bolabotlhano	b O l a b O tlh a n O
akgoleng	a kx O l E N
tsietsang	ts> i E ts> a N
sefalana	s E f a l a n a
gokaganya	x O k> a x a J a
nkaraba	n k> a r a b a
tseokarolo	ts> E O k> a r O l O
kgotlelego	kx O tl> E l E x O
mmofolola	m m O f O l O l a
mogoloe	m O x O l O E
dikudumedi	d i k> u d u m E d i
ditlamelwana	d i tl> a m E l w a n a
lejwe	l E d0Z w E
ditekesi	d i t> E k> E s i
thaetswe	th a E ts> w E
tsamao	ts> a m a O
maleo	m a l E O
ilweng	i l w E N
konalong	k> O n a l O N
rwale	r w a l E
medithola	m E d i th O l a
mmepeng	m m E p> E N
tswirinya	ts> w i r i J a
rekwe	r E k> w E
badirammogo	b a d i r a m m O x O
tshologang	tsh O l O x a N
phunngwa	ph u n N w a
batlhalefi	b a tlh a l E f i
disha	d i s a
mebotwana	m E b O t> w a n a
dikgwebopotlana	d i kx w E b O p> O tl> a n a
letsogo	l E ts> O x O
kholetšhe	kh O l E tSh E
phatla	ph a tl> a
diragetseng	d i r a x E ts> E N
nowa	n O w a
maikarabelo	m a i k> a r a b E l O
tepo	t> E p> O
gatana	x a t> a n a
ditlhaselo	d i tlh a s E l O
bereke	b E r E k> E
amogwa	a m O x w a
bathusing	b a th u s i N
sekhukhu	s E kh u kh u
fitlheletsweng	f i tlh E l E ts> w E N
intia	i n t> i a
setlhe	s E tlh E
tlhodiwang	tlh O d i w a N
meento	m E E n t> O
tlhokomele	tlh O k> O m E l E
mabone	m a b O n E
bitsang	b i ts> a N
tserweng	ts> E r w E N
sefatlhego	s E f a tlh E x O
tshosang	tsh O s a N
ranolelwa	r a n O l E l w a
betsaka	b E ts> a k> a
setshegetsi	s E tsh E x E ts> i
segopatsela	s E x O p> a ts> E l a
nakonyana	n a k> O J a n a
borraabo	b O r r a b O
maphatsiphatsi	m a ph a ts> i ph a ts> i
disiti	d i s i t> i
kgatselo	kx a ts> E l O
tlhabolotseng	tlh a b O l O ts> E N
lefisa	l E f i s a
emisitse	E m i s i ts> E
khutle	kh u tl> E
bosa	b O s a
tefamorwalo	t> E f a m O r w a l O
dirweng	d i r w E N
diragatswe	d i r a x a ts> w E
nwewang	n w E w a N
selelo	s E l E l O
badirediloago	b a d i r E d i l O a x O
monateng	m O n a t> E N
khukhwane	kh u kh w a n E
baneng	b a n E N
adimiwa	a d i m i w a
ipha	i ph a
dithutiso	d i th u t> i s O
setlhamong	s E tlh a m O N
tlhagafatsa	tlh a x a f a ts> a
laolelwa	l a O l E l w a
mmadi	m m a d i
nitama	n i t> a m a
tlhatlhobegang	tlh a tlh O b E x a N
lotlelwang	l O tl> E l w a N
ditlelempe	d i tl> E l E m p> E
ithabuetsa	i th a b u E ts> a
boroko	b O r O k> O
dumaduma	d u m a d u m a
setlhefala	s E tlh E f a l a
bokgaitsadi	b O kx a i ts> a d i
tlhotlhetsa	tlh O tlh E ts> a
tshetso	tsh E ts> O
saentshe	s a E n tsh E
sekgele	s E kx E l E
jana	d0Z a n a
sutiseng	s u t> i s E N
akaretseng	a k> a r E ts> E N
selwana	s E l w a n a
thobalano	th O b a l a n O
selaole	s E l a O l E
botoro	b O t> O r O
thiboga	th i b O x a
terekere	t> E r E k> E r E
maphodisa	m a ph O d i s a
gagabela	x a x a b E l a
motlhapi	m O tlh a p> i
karabo	k> a r a b O
buiweng	b u i w E N
mmolaya	m m O l a j a
katisang	k> a t> i s a N
dikiletsong	d i k> i l E ts> O N
sebe	s E b E
lerile	l E r i l E
mogaleng	m O x a l E N
ntshwenya	n tsh w E J a
tsereganya	ts> E r E x a J a
ikutlwa	i k> u tl> w a
batlhotlhomisi	b a tlh O tlh O m i s i
phaposong	ph a p> O s O N
rotloetseng	r O tl> O E ts> E N
bontshiwe	b O n tsh i w E
balemirui	b a l E m i r u i
nosiwang	n O s i w a N
phaloso	ph a l O s O
thapang	th a p> a N
kgogophetiso	kx O x O ph E t> i s O
diphatlheng	d i ph a tlh E N
ditogamaanong	d i t> O x a m a n O N
puisong	p> u i s O N
botlhalenyana	b O tlh a l E J a n a
bulega	b u l E x a
laetse	l a E ts> E
diphanele	d i ph a n E l E
lewatleng	l E w a tl> E N
ikgatholosa	i kx a th O l O s a
lesedi	l E s E d i
kaya	k> a j a
tlhanyaolola	tlh a J a O l O l a
dimeleng	d i m E l E N
kwalelana	k> w a l E l a n a
tlhabolole	tlh a b O l O l E
leotong	l E O t> O N
nyorelwa	J O r E l w a
tsidifatso	ts> i d i f a ts> O
pabalesegong	p> a b a l E s E x O N
koloing	k> O l O i N
kubakuba	k> u b a k> u b a
inšorense	i n S O r E n s E
kankereng	k> a n k> E r E N
godisitse	x O d i s i ts> E
baketeria	b a k> E t> E r i a
merwalela	m E r w a l E l a
dintlong	d i n tl> O N
magalamasuge	m a x a l a m a s u x E
fetelwa	f E t> E l w a
difensetere	d i f E n s E t> E r E
manegilwe	m a n E x i l w E
khutlisiwang	kh u tl> i s i w a N
setlhoeng	s E tlh O E N
itsiweng	i ts> i w E N
ikaegileng	i k> a E x i l E N
akaretse	a k> a r E ts> E
lebang	l E b a N
ketapele	k> E t> a p> E l E
heketara	h E k> E t> a r a
bongwang	b O N w a N
lapeng	l a p> E N
tebogo	t> E b O x O
boithaopo	b O i th a O p> O
tlwaeditse	tl> w a E d i ts> E
dibopegong	d i b O p> E x O N
mogopolong	m O x O p> O l O N
thotong	th O t> O N
khombi	kh O m b i
namang	n a m a N
motshodi	m O tsh O d i
ditlamegong	d i tl> a m E x O N
tswako	ts> w a k> O
atolositswe	a t> O l O s i ts> w E
tlisitswe	tl> i s i ts> w E
setsha	s E tsh a
setlhophanyana	s E tlh O ph a J a n a
mabono	m a b O n O
ditsela	d i ts> E l a
ven	b E n
fetela	f E t> E l a
thaelesego	th a E l E S E x O
borobongwe	b O r O b O N w E
dipoelothuto	d i p> O E l O th u t> O
mmoko	m m O k> O
nopolo	n O p> O l O
kopane	k> O p> a n E
tsiya	ts> i j a
bolayang	b O l a j a N
lekiwang	l E k> i w a N
modiragatsi	m O d i r a x a ts> i
moruleng	m O r u l E N
lebagantsweng	l E b a x a n ts> w E N
tlotlegang	tl> O tl> E x a N
sethusi	s E th u s i
moratho	m O r a th O
letswa	l E ts> w a
boikuelo	b O i k> u E l O
kgalo	kx a l O
tebaganyo	t> E b a x a J O
ikakatlela	i k> a k> a tl> E l a
namela	n a m E l a
gogela	x O x E l a
dithipa	d i th i p> a
isegang	i s E x a N
tsietsa	ts> i E ts> a
reka	r E k> a
konoseditseng	k> O n O s E d i ts> E N
logagantsweng	l O x a x a n ts> w E N
morwaarona	m O r w a r O n a
bokidi	b O k> i d i
maledu	m a l E d u
sentswe	s E n ts> w E
amana	a m a n a
dipekereng	d i p> E k> E r E N
sekae	s E k> a E
bao	b a O
menagana	m E n a x a n a
etang	E t> a N
semorafe	s E m O r a f E
ipuisetsa	i p> u i s E ts> a
tsibogeleng	ts> i b O x E l E N
bopile	b O p> i l E
dipolelong	d i p> O l E l O N
robiwa	r O b i w a
kgwathana	kx w a th a n a
laele	l a E l E
senyana	s E J a n a
bonni	b O n n i
sekaka	s E k> a k> a
bakwadisi	b a k> w a d i s i
golotswe	x O l O ts> w E
builwe	b u i l w E
ikgapele	i kx a p> E l E
dikganelo	d i kx a n E l O
letsele	l E ts> E l E
fekeseng	f E k> E s E N
diripana	d i r i p> a n a
epiwang	E p> i w a N
roroma	r O r O m a
dikgano	d i kx a n O
phatlalatsang	ph a tl> a l a ts> a N
thekenolojing	th E k> E n O l O d0Z i N
kamogelong	k> a m O x E l O N
legodu	l E x O d u
nagagodimo	n a x a x O d i m O
thibetswe	th i b E ts> w E
boi	b O i
fositse	f O s i ts> E
abelanwang	a b E l a n w a N
lemao	l E m a O
lelekisa	l E l E k> i s a
mmusisi	m m u s i s i
diatelo	d i a t> E l O
sefatlhegong	s E f a tlh E x O N
bolang	b O l a N
tlale	tl> a l E
mothapi	m O th a p> i
meeding	m E E d i N
kgetseng	kx E ts> E N
tirisanommogong	t> i r i s a n O m m O x O N
tlhodilweng	tlh O d i l w E N
ratega	r a t> E x a
agelwang	a x E l w a N
sedimosediwa	s E d i m O s E d i w a
lekolwa	l E k> O l w a
bonno	b O n n O
magoletsa	m a x O l E ts> a
tsamaile	ts> a m a i l E
nja	n d0Z a
