can't	k> a n t>
rwaleletše	r w a l E l E tS> E
rwalelwa	r w a l E l w a
rwale	r w a l E
rwaletšwe	r w a l E tS> w E
rwalwago	r w a l w a G O
rwalwa	r w a l w a
rwelego	r w E l E G O
rwele	r w E l E
rwelwego	r w E l w E G O
rwelwe	r w E l w E
rweša	r w E S a
rwešitšwego	r w E S i tS> w E G O
rwešwa	r w E S w a
rwešwe	r w E S w E
šadile	S a l` i l E
šadiša	S a l` i S a
šaediša	S a E l` i S a
saena	s a E n a
saenela	s a E n E l a
saenele	s a E n E l E
saenelwa	s a E n E l w a
saene	s a E n E
saenetšego	s a E n E tS> E G O
saenetšwego	s a E n E tS> w E G O
saenilego	s a E n i l E G O
saenile	s a E n i l E
saenilwego	s a E n i l w E G O
saenilwe	s a E n i l w E
saennego	s a E n n E G O
saenne	s a E n n E
saennwego	s a E n n w E G O
saennwe	s a E n n w E
saense	s a E n s E
saenwa	s a E n w a
saenwe	s a E n w E
saese	s a E s E
saeteng	s a E t> E N
saete	s a E t> E
šaetša	S a E tS> a
šaetšegilego	S a E tS> E G i l E G O
sakatuku	s a k> a t> u k> u
šakeng	S a k> E N
šalago	S a l a G O
šalana	S a l a n a
šala	S a l a
šalela	S a l E l a
šalele	S a l E l E
šalelwa	S a l E l w a
šale	S a l E
šaletšego	S a l E tS> E G O
šaletše	S a l E tS> E
šaletšwe	S a l E tS> w E
salune	s a l u n E
šalwago	S a l w a G O
šalwa	S a l w a
šalwe	S a l w E
samente	s a m E n t> E
sammaletee	s a m m a l E t> E E
sammaruri	s a m m a r u r i
samme	s a m m E
sampoko	s a m p> O k> O
sangwetše	s a N w E tS> E
saniteišene	s a n i t> E i S E n E
šaparegilego	S a p> a r E G i l E G O
šaparegile	S a p> a r E G i l E
šarakane	S a r a k> a n E
šarakanya	S a r a k> a J a
šareditšwego	S a r E l` i tS> w E G O
šarelwa	S a r E l w a
šaretšwe	S a r E tS> w E
ša	S a
sasa	s a s a
šašetša	S a S E tS> a
šatee	S a t> E E
sathalaete	s a th a l a E t> E
satšene	s a tS> E n E
šawara	S a w a r a
seabe	s E a B E
seabi	s E a B i
seala	s E a l a
sealoga	s E a l O G a
seaparo	s E a p> a r O
šea	S E a
seatlakobong	s E a tl> a k> O B O N
seatla	s E a tl> a
seatleng	s E a tl> E N
sebabole	s E B a B O l E
sebadi	s E B a l` i
sebakabakeng	s E B a k> a B a k> E N
sebakana	s E B a k> a n a
sebakanyana	s E B a k> a J a n a
sebaka	s E B a k> a
sebakeng	s E B a k> E N
sebakwa	s E B a k> w a
sebalamatlotlo	s E B a l a m a tl> O tl> O
sebaledi	s E B a l E l` i
šebale	S E B a l E
sebapadi	s E B a p> a l` i
seba	s E B a
šeba	S E B a
sebatahlapi	s E B a t> a K a p> i
sebatakgomo	s E B a t> a kx O m O
sebataladi	s E B a t> a l a l` i
sebata	s E B a t> a
sebela	s E B E l a
sebele	s E B E l E
sebelwa	s E B E l w a
sebepi	s E B E p> i
sebe	s E B E
šebešebe	S E B E S E B E
sebešong	s E B E S O N
sebešwa	s E B E S w a
sebete	s E B E t> E
sebetlwa	s E B E tl> w a
sebetša	s E B E tS> a
sebiletšwa	s E B i l E tS> w a
sebjalebjale	s E BZ a l E BZ a l E
sebjale	s E BZ a l E
sebjalo	s E BZ a l O
sebjalwana	s E BZ a l w a n a
sebjana	s E BZ a n a
sebjaneng	s E BZ a n E N
seboditšwe	s E B O l` i tS> w E
sebodu	s E B O l` u
seboi	s E B O i
sebokantšu	s E B O k> a n tS> u
seboka	s E B O k> a
sebokophehli	s E B O k> O ph E K i
seboko	s E B O k> O
sebokosegi	s E B O k> O s E G i
sebolai	s E B O l a i
seboledi	s E B O l E l` i
seboledisegolo	s E B O l E l` i s E G O l O
seboleledi	s E B O l E l E l` i
sebontšhi	s E B O n tSh i
sebonwa	s E B O n w a
sebopegong	s E B O p> E G O N
sebopego	s E B O p> E G O
sebopiwa	s E B O p> i w a
sebo	s E B O
sebotša	s E B O tS> a
sebotse	s E B O ts> E
sebotšwa	s E B O tS> w a
sebudula	s E B u l` u l a
sediba	s E l` i B a
sedibeng	s E l` i B E N
sedikiši	s E l` i k> i S i
sedikong	s E l` i k> O N
sediko	s E l` i k> O
šedio	S E l` i O
sediri	s E l` i r i
sedirišwa	s E l` i r i S w a
sediriwa	s E l` i r i w a
sedirwa	s E l` i r w a
šedi	S E l` i
šeditše	S E l` i tS> E
šeditšwego	S E l` i tS> w E G O
šeditšwe	S E l` i tS> w E
sedumedi	s E l` u m E l` i
seedi	s E E l` i
seela	s E E l a
seelo	s E E l O
seema	s E E m a
seemong	s E E m O N
seemo	s E E m O
seenywa	s E E J w a
seepe	s E E p> E
seepšane	s E E pS> a n E
seeta	s E E t> a
seetša	s E E tS> a
seetšeng	s E E tS> E N
sefahlegong	s E f a K E G O N
sefahlego	s E f a K E G O
sefahlegwana	s E f a K E G w a n a
sefahlogo	s E f a K O G O
sefaka	s E f a k> a
sefako	s E f a k> O
sefala	s E f a l a
sefaleng	s E f a l E N
sefane	s E f a n E
sefapano	s E f a p> a n O
sefa	s E f a
šefa	S E f a
sefatamollo	s E f a t> a m O l l O
sefatanaga	s E f a t> a n a G a
sefatanageng	s E f a t> a n a G E N
sefatana	s E f a t> a n a
sefata	s E f a t> a
sefateng	s E f a t> E N
sefate	s E f a t> E
sefega	s E f E G a
sefegeng	s E f E G E N
sefela	s E f E l a
sefepi	s E f E p> i
seferong	s E f E r O N
sefero	s E f E r O
sefe	s E f E
sefifi	s E f i f i
sefoa	s E f O a
sefodiši	s E f O l` i S i
sefofaneng	s E f O f a n E N
sefofane	s E f O f a n E
sefofu	s E f O f u
sefoka	s E f O k> a
sefolo	s E f O l O
sefo	s E f O
sefsa	s E p\s a
sefularo	s E f u l a r O
sefu	s E f u
segadikane	s E G a l` i k> a n E
segae	s E G a E
segafi	s E G a f i
segagabi	s E G a G a B i
segagabobona	s E G a G a B O B O n a
segagaborena	s E G a G a B O r E n a
segagabo	s E G a G a B O
segageno	s E G a G E n O
segagešo	s E G a G E S O
segalo	s E G a l O
sega	s E G a
segasega	s E G a s E G a
segatišamantšu	s E G a t> i S a m a n tS> u
segela	s E G E l a
segeng	s E G E N
sege	s E G E
segetšwe	s E G E tS> w E
segilwego	s E G i l w E G O
segilwe	s E G i l w E
segišago	s E G i S a G O
segiša	s E G i S a
šegofaditšwe	S E G O f a l` i tS> w E
šegofatšwa	S E G O f a tS> w a
segohlola	s E G O K O l a
segokgo	s E G O kx O
segola	s E G O l a
segoleng	s E G O l E N
segole	s E G O l E
segologolo	s E G O l O G O l O
segolo	s E G O l O
segolothata	s E G O l O th a t> a
segongwane	s E G O N w a n E
segopotšo	s E G O p> O tS> O
sego	s E G O
segoši	s E G O S i
segotlane	s E G O tl> a n E
segwagwa	s E G w a G w a
segwa	s E G w a
segwera	s E G w E r a
segwere	s E G w E r E
segwe	s E G w E
sehebehebe	s E h\ E B E h\ E B E
sehlaba	s E K a B a
sehlabelo	s E K a B E l O
sehlabi	s E K a B i
sehlafala	s E K a f a l a
sehlagana	s E K a G a n a
sehlaga	s E K a G a
sehlagodi	s E K a G O l` i
sehlakahlaka	s E K a k> a K a k> a
sehlakahlakeng	s E K a k> a K a k> E N
sehlalefi	s E K a l E f i
sehlangwa	s E K a N w a
sehlapelo	s E K a p> E l O
sehlareng	s E K a r E N
sehlare	s E K a r E
sehla	s E K a
sehlee	s E K E E
sehlefala	s E K E f a l a
sehlefetšego	s E K E f E tS> E G O
sehlefetše	s E K E f E tS> E
sehleng	s E K E N
sehloa	s E K O a
sehloeng	s E K O E N
sehlogong	s E K O G O N
sehlogo	s E K O G O
sehlokwa	s E K O k> w a
sehlola	s E K O l a
sehlomo	s E K O m O
sehlongwa	s E K O N w a
sehlongweng	s E K O N w E N
sehlophana	s E K O ph a n a
sehlophantšu	s E K O ph a n tS> u
sehlopha	s E K O ph a
sehlophatšhomo	s E K O ph a tSh O m O
sehlopheng	s E K O ph E N
sehlotshwana	s E K O tsh w a n a
sehlwaseeme	s E K w a s E E m E
sehlwa	s E K w a
sehlwekišamoya	s E K w E k> i S a m O j a
sehlwekiši	s E K w E k> i S i
sehuba	s E h\ u B a
sehubedu	s E h\ u B E l` u
sehwirihwiri	s E h\ w i r i h\ w i r i
seila	s E i l a
seindia	s E i n l` i a
seiponeng	s E i p> O n E N
seipone	s E i p> O n E
sejabana	s E d0Z a B a n a
sejato	s E d0Z a t> O
sejelo	s E d0Z E l O
sejokgolo	s E d0Z O kx O l O
sejo	s E d0Z O
sekae	s E k> a E
sekafoko	s E k> a f O k> O
sekago	s E k> a G O
sekai	s E k> a i
sekakarolo	s E k> a k> a r O l O
sekaku	s E k> a k> u
sekala	s E k> a l a
sekaleng	s E k> a l E N
sekama	s E k> a m a
sekamego	s E k> a m E G O
sekamela	s E k> a m E l a
sekamele	s E k> a m E l E
sekametšego	s E k> a m E tS> E G O
sekammušo	s E k> a m m u S O
sekamolawaneng	s E k> a m O l a w a n E N
sekamolla	s E k> a m O l l a
sekaone	s E k> a O n E
sekapolelo	s E k> a p> O l E l O
sekasehloa	s E k> a s E K O a
seka	s E k> a
sekasekago	s E k> a s E k> a G O
sekaseka	s E k> a s E k> a
sekaseke	s E k> a s E k> E
sekasekile	s E k> a s E k> i l E
sekasekilwego	s E k> a s E k> i l w E G O
sekasekilwe	s E k> a s E k> i l w E
sekasekwago	s E k> a s E k> w a G O
sekasekwa	s E k> a s E k> w a
sekegela	s E k> E G E l a
sekela	s E k> E l a
sekena	s E k> E n a
sekeng	s E k> E N
sekepeng	s E k> E p> E N
sekepe	s E k> E p> E
sekerete	s E k> E r E t> E
sekerini	s E k> E r i n i
seke	s E k> E
sekete	s E k> E t> E
seketšago	s E k> E tS> a G O
seketša	s E k> E tS> a
seketswana	s E k> E ts> w a n a
sekgala	s E kx a l a
sekgalela	s E kx a l E l a
sekgale	s E kx a l E
sekgao	s E kx a O
sekgauswi	s E kx a u s w i
sekgobana	s E kx O B a n a
sekgoba	s E kx O B a
sekgobeng	s E kx O B E N
sekgokgokgo	s E kx O kx O kx O
sekgomana	s E kx O m a n a
sekgomaretši	s E kx O m a r E tS> i
sekgopi	s E kx O p> i
sekgorokgoro	s E kx O r O kx O r O
sekgotse	s E kx O ts> E
sekgwari	s E kx w a r i
sekgwa	s E kx w a
sekgweng	s E kx w E N
sekhipha	s E kh i ph a
sekhumola	s E kh u m O l a
sekhurumelo	s E kh u r u m E l O
sekhutlong	s E kh u tl> O N
sekhutlo	s E kh u tl> O
sekhutlwaneng	s E kh u tl> w a n E N
sekhwama	s E kh w a m a
sekhwameng	s E kh w a m E N
sekhwi	s E kh w i
sekilego	s E k> i l E G O
sekilwe	s E k> i l w E
sekišago	s E k> i S a G O
sekiša	s E k> i S a
sekiše	s E k> i S E
sekišwago	s E k> i S w a G O
sekišwa	s E k> i S w a
sekišwe	s E k> i S w E
sekolong	s E k> O l O N
sekolo	s E k> O l O
sekolotong	s E k> O l O t> O N
sekoloto	s E k> O l O t> O
sekontari	s E k> O n t> a r i
sekontiring	s E k> O n t> i r i N
sekontiri	s E k> O n t> i r i
sekopana	s E k> O p> a n a
sekorolo	s E k> O r O l O
sekoro	s E k> O r O
sekutu	s E k> u t> u
sekwago	s E k> w a G O
sekwala	s E k> w a l a
sekwa	s E k> w a
sekwasekwa	s E k> w a s E k> w a
sekwere	s E k> w E r E
selaganyago	s E l a G a J a G O
selaganya	s E l a G a J a
selaodi	s E l a O l` i
selapa	s E l a p> a
sela	s E l a
selebaneng	s E l E B a n E N
seledu	s E l E l` u
selee	s E l E E
selekane	s E l E k> a n E
selekanyo	s E l E k> a J O
seleka	s E l E k> a
selekega	s E l E k> E G a
selekegile	s E l E k> E G i l E
selekiša	s E l E k> i S a
selekišwa	s E l E k> i S w a
selelago	s E l E l a G O
selela	s E l E l a
selemogare	s E l E m O G a r E
selemong	s E l E m O N
selemo	s E l E m O
šeleng	S E l E N
selepe	s E l E p> E
sele	s E l E
šele	S E l E
seleteng	s E l E t> E N
selete	s E l E t> E
seletšo	s E l E tS> O
seletšwa	s E l E tS> w a
sellong	s E l l O N
sello	s E l l O
seloko	s E l O k> O
selo	s E l O
seloto	s E l O t> O
selula	s E l u l a
selwana	s E l w a n a
selwa	s E l w a
semaka	s E m a k> a
semamaretši	s E m a m a r E tS> i
semangmang	s E m a N m a N
semeetseng	s E m E E ts> E N
semela	s E m E l a
semeleng	s E m E l E N
semelo	s E m E l O
semetlana	s E m E tl> a n a
seminara	s E m i n a r a
seminare	s E m i n a r E
semmotwana	s E m m O t> w a n a
semmušo	s E m m u S O
semolao	s E m O l a O
semolaotheo	s E m O l a O th E O
semorafe	s E m O r a f E
semotšhene	s E m O tSh E n E
semoya	s E m O j a
semphato	s E m ph a t> O
semphekgo	s E m ph E kx O
semphetekegofete	s E m ph E t> E k> E G O f E t> E
senago	s E n a G O
senakangwedi	s E n a k> a N w E l` i
senamelwa	s E n a m E l w a
sena	s E n a
senatla	s E n a tl> a
seneifi	s E n E i f i
senepe	s E n E p> E
senganga	s E N a N a
seng	s E N
sengwalong	s E N w a l O N
sengwalo	s E N w a l O
sengwalwabogelwa	s E N w a l w a B O G E l w a
sengwalwakakanywa	s E N w a l w a k> a k> a J w a
sengwalwana	s E N w a l w a n a
sengwalwa	s E N w a l w a
sengwalwatlhaloši	s E N w a l w a tlh a l O S i
sengwalweng	s E N w a l w E N
sengwa	s E N w a
sengwenyana	s E N w E J a n a
sengwe	s E N w E
senka	s E n k> a
senke	s E n k> E
senkgwa	s E n kx w a
senkile	s E n k> i l E
senko	s E n k> O
senkwa	s E n k> w a
senkwe	s E n k> w E
sennyane	s E n J a n E
senoinoi	s E n O i n O i
senokong	s E n O k> O N
senoko	s E n O k> O
senokwane	s E n O k> w a n E
senola	s E n O l a
senolofatši	s E n O l O f a tS> i
seno	s E n O
senotlelo	s E n O tl> E l O
sente	s E n t> E
senthara	s E n th a r a
sentšego	s E n tS> E G O
sentše	s E n tS> E
sentšhamoya	s E n tSh a m O j a
sentši	s E n tS> i
sentšwego	s E n tS> w E G O
sentšwelakae	s E n tS> w E l a k> a E
sentšwe	s E n tS> w E
senwi	s E n w i
senyagaletšwego	s E J a G a l E tS> w E G O
senyago	s E J a G O
senyakašedi	s E J a k> a S E l` i
senyakelwa	s E J a k> E l w a
senyakwa	s E J a k> w a
senyane	s E J a n E
senya	s E J a
senyeditšego	s E J E l` i tS> E G O
senyeditše	s E J E l` i tS> E
senyegago	s E J E G a G O
senyega	s E J E G a
senyegela	s E J E G E l a
senyegelwa	s E J E G E l w a
senyege	s E J E G E
senyegilego	s E J E G i l E G O
senyegile	s E J E G i l E
senyego	s E J E G O
senyeng	s E J E N
senye	s E J E
senyetšago	s E J E tS> a G O
senyetša	s E J E tS> a
senywa	s E J w a
senywe	s E J w E
seokobatši	s E O k> O B a tS> i
seokolela	s E O k> O l E l a
seolong	s E O l O N
seolo	s E O l O
seolwana	s E O l w a n a
seopedi	s E O p> E l` i
seo	s E O
šeo	S E O
seota	s E O t> a
seotli	s E O tl> i
sepane	s E p> a n E
sepedišago	s E p> E l` i S a G O
sepedišanago	s E p> E l` i S a n a G O
sepedišana	s E p> E l` i S a n a
sepedišane	s E p> E l` i S a n E
sepediša	s E p> E l` i S a
sepediše	s E p> E l` i S E
sepedišitše	s E p> E l` i S i tS> E
sepedišitšwego	s E p> E l` i S i tS> w E G O
sepedišitšwe	s E p> E l` i S i tS> w E
sepedišwago	s E p> E l` i S w a G O
sepedišwa	s E p> E l` i S w a
sepedišwe	s E p> E l` i S w E
sepeditšwego	s E p> E l` i tS> w E G O
sepeditšwe	s E p> E l` i tS> w E
sepelago	s E p> E l a G O
sepelang	s E p> E l a N
sepela	s E p> E l a
sepelasepela	s E p> E l a s E p> E l a
sepelego	s E p> E l E G O
sepelelago	s E p> E l E l a G O
sepelelanago	s E p> E l E l a n a G O
sepelelana	s E p> E l E l a n a
sepelelanego	s E p> E l E l a n E G O
sepelelane	s E p> E l E l a n E
sepelela	s E p> E l E l a
sepelele	s E p> E l E l E
sepeleng	s E p> E l E N
sepele	s E p> E l E
sepelwago	s E p> E l w a G O
sepelwa	s E p> E l w a
sepetlela	s E p> E tl> E l a
sepetleleng	s E p> E tl> E l E N
sepetlele	s E p> E tl> E l E
sepetšago	s E p> E tS> a G O
sepetšana	s E p> E tS> a n a
sepetša	s E p> E tS> a
sepetšego	s E p> E tS> E G O
sepetše	s E p> E tS> E
sepetšwago	s E p> E tS> w a G O
sepetšwa	s E p> E tS> w a
sepetšwego	s E p> E tS> w E G O
sepetšwe	s E p> E tS> w E
sephara	s E ph a r a
sephedi	s E ph E l` i
sephesente	s E ph E s E n t> E
sephethephethe	s E ph E th E ph E th E
sephethong	s E ph E th O N
sephetho	s E ph E th O
sephiring	s E ph i r i N
sephiri	s E ph i r i
sephodisa	s E ph O l` i s a
sephoofolo	s E ph O O f O l O
sephuthana	s E ph u th a n a
sephutha	s E ph u th a
sephuthelwana	s E ph u th E l w a n a
sepiriti	s E p> i r i t> i
sepitša	s E p> i tS> a
sepolitiki	s E p> O l i t> i k> i
sepolotiki	s E p> O l O t> i k> i
seporong	s E p> O r O N
seporo	s E p> O r O
seprofešenale	s E p> r O f E S E n a l E
seprofešene	s E p> r O f E S E n E
serafe	s E r a f E
seramiki	s E r a m i k> i
serantlatla	s E r a n tl> a tl> a
serapana	s E r a p> a n a
serapaneng	s E r a p> a n E N
serapa	s E r a p> a
serapeng	s E r a p> E N
serati	s E r a t> i
seratswana	s E r a ts> w a n a
seratswaneng	s E r a ts> w a n E N
sererwa	s E r E r w a
serethe	s E r E th E
sereti	s E r E t> i
seretong	s E r E t> O N
sereto	s E r E t> O
seretwa	s E r E t> w a
seripagare	s E r i p> a G a r E
seripana	s E r i p> a n a
seripa	s E r i p> a
seripeng	s E r i p> E N
seriting	s E r i t> i N
seriti	s E r i t> i
seroba	s E r O B a
serokaphatla	s E r O k> a ph a tl> a
serokolo	s E r O k> O l O
serolane	s E r O l a n E
serole	s E r O l E
serolwana	s E r O l w a n a
seroto	s E r O t> O
serotwana	s E r O t> w a n a
sersanta	s E r s a n t> a
seruiwa	s E r u i w a
serumola	s E r u m O l a
serurubele	s E r u r u B E l E
serutegi	s E r u t> E G i
seruthwana	s E r u th w a n a
seruthwane	s E r u th w a n E
serwadi	s E r w a l` i
sesadi	s E s a l` i
sesane	s E s a n E
sesasedi	s E s a s E l` i
sesa	s E s a
se	s E
še	S E
sešeba	s E S E B a
sešebo	s E S E B O
sesefala	s E s E f a l a
sesefatša	s E s E f a tS> a
sesefetšego	s E s E f E tS> E G O
sešegong	s E S E G O N
sesego	s E s E G O
sešego	s E S E G O
sešegotlotlo	s E S E G O tl> O tl> O
seseka	s E s E k> a
sesenyi	s E s E J i
sesepediši	s E s E p> E l` i S i
sesepe	s E s E p> E
sešepe	s E S E p> E
sese	s E s E
sešilafuru	s E S i l a f u r u
sešireletšahlogo	s E S i r E l E tS> a K O G O
seširo	s E S i r O
sesi	s E s i
sešogo	s E S O G O
sesohlo	s E s O K O
sesole	s E s O l E
sešole	s E S O l E
sesolo	s E s O l O
sešoro	s E S O r O
seso	s E s O
sešo	s E S O
sešupanako	s E S u p> a n a k> O
sešupatlotlo	s E S u p> a tl> O tl> O
sešupi	s E S u p> i
sešupo	s E S u p> O
seswai	s E s w a i
seswana	s E s w a n a
seswantšhokgopolo	s E s w a n tSh O kx O p> O l O
seswantšhong	s E s w a n tSh O N
seswantšho	s E s w a n tSh O
sešweufatši	s E S w E u f a tS> i
sešweu	s E S w E u
setaele	s E t> a E l E
setafo	s E t> a f O
setagi	s E t> a G i
setagwa	s E t> a G w a
setalafatši	s E t> a l a f a tS> i
setalamorogo	s E t> a l a m O r O G O
setala	s E t> a l a
setampa	s E t> a m p> a
setase	s E t> a s E
setatšhe	s E t> a tSh E
setee	s E t> E E
seteišeneng	s E t> E i S E n E N
seteišene	s E t> E i S E n E
setelele	s E t> E l E l E
setemere	s E t> E m E r E
setempe	s E t> E m p> E
setena	s E t> E n a
setene	s E t> E n E
setereke	s E t> E r E k> E
sete	s E t> E
sethaka	s E th a k> a
sethakga	s E th a kx a
sethakgodi	s E th a kx O l` i
sethala	s E th a l a
sethale	s E th a l E
sethalwa	s E th a l w a
sethata	s E th a t> a
sethekniki	s E th E k> n i k> i
sethitho	s E th i th O
sethokgwana	s E th O kx w a n a
sethokgwa	s E th O kx w a
sethokgweng	s E th O kx w E N
sethong	s E th O N
setho	s E th O
sethunya	s E th u J a
sethuthupi	s E th u th u p> i
setifikeiti	s E t> i f i k> E i t> i
setimamollo	s E t> i m a m O l l O
setimela	s E t> i m E l a
setimeleng	s E t> i m E l E N
setlaela	s E tl> a E l a
setlamong	s E tl> a m O N
setlamorago	s E tl> a m O r a G O
setlamo	s E tl> a m O
setlankana	s E tl> a n k> a n a
setlapele	s E tl> a p> E l E
setlatla	s E tl> a tl> a
setlega	s E tl> E G a
setlela	s E tl> E l a
setlemo	s E tl> E m O
setlogolo	s E tl> O G O l O
setlogolwana	s E tl> O G O l w a n a
setlogong	s E tl> O G O N
setlogo	s E tl> O G O
setlwaedi	s E tl> w a E l` i
setofo	s E t> O f O
setokising	s E t> O k> i s i N
setološi	s E t> O l O S i
setopo	s E t> O p> O
setoropong	s E t> O r O p> O N
setrata	s E t> r a t> a
šetšago	S E tS> a G O
šetšana	S E tS> a n a
šetšane	S E tS> a n E
setša	s E tS> a
šetša	S E tS> a
setšeamantšu	s E tS> E a m a n tS> u
setsebakgwebo	s E ts> E B a kx w E B O
setsebi	s E ts> E B i
setsebitsebi	s E ts> E B i ts> E B i
šetšego	S E tS> E G O
setseka	s E ts> E k> a
setseketseke	s E ts> E k> E ts> E k> E
setšene	s E tS> E n E
šetšeng	S E tS> E N
šetše	S E tS> E
setšhabana	s E tSh a B a n a
setšhaba	s E tSh a B a
setšhabeng	s E tSh a B E N
setsha	s E tsh a
setšha	s E tSh a
setsheng	s E tsh E N
setsiba	s E ts> i B a
setšidifatšing	s E tS> i l` i f a tS> i N
setšidifatši	s E tS> i l` i f a tS> i
setšong	s E tS> O N
setsopolwa	s E ts> O p> O l w a
setsopolweng	s E ts> O p> O l w E N
setšo	s E tS> O
setswaki	s E ts> w a k> i
setswalelo	s E ts> w a l E l O
setswalle	s E ts> w a l l E
šetšwa	S E tS> w a
setswatswa	s E ts> w a ts> w a
šetšwego	S E tS> w E G O
setšwe	s E tS> w E
šetšwe	S E tS> w E
setswetši	s E ts> w E tS> i
šetule	S E t> u l E
setulong	s E t> u l O N
setulo	s E t> u l O
setulwaneng	s E t> u l w a n E N
setunyana	s E t> u J a n a
setupung	s E t> u p> u N
setupu	s E t> u p> u
setu	s E t> u
setwa	s E t> w a
sewelo	s E w E l O
seyalemoya	s E j a l E m O j a
seyalemoyeng	s E j a l E m O j E N
šia	S i a
šibašiba	S i B a S i B a
šidulla	S i l` u l l a
šielanago	S i E l a n a G O
šielana	S i E l a n a
šiela	S i E l a
šie	S i E
šiilego	S i i l E G O
šiile	S i i l E
šiilwe	S i i l w E
šiišago	S i i S a G O
šiiša	S i i S a
šikara	S i k> a r a
šikere	S i k> E r E
šikinya	S i k> i J a
šikinyega	S i k> i J E G a
šikinyege	S i k> i J E G E
šikiša	S i k> i S a
šikologa	S i k> O l O G a
šikologwa	S i k> O l O G w a
šilago	S i l a G O
šila	S i l a
šilega	S i l E G a
šile	S i l E
silibere	s i l i B E r E
silika	s i l i k> a
siling	s i l i N
silintere	s i l i n t> E r E
šilwa	S i l w a
šimolla	S i m O l l a
sindikheithi	s i n l` i kh E i th i
sinema	s i n E m a
sinki	s i n k> i
širela	S i r E l a
šireleditše	S i r E l E l` i tS> E
šireleditswego	S i r E l E l` i ts> w E G O
šireleditšwego	S i r E l E l` i tS> w E G O
šireleditšwe	S i r E l E l` i tS> w E
šireletšago	S i r E l E tS> a G O
šireletša	S i r E l E tS> a
šireletšega	S i r E l E tS> E G a
šireletšege	S i r E l E tS> E G E
šireletšegilego	S i r E l E tS> E G i l E G O
šireletšegile	S i r E l E tS> E G i l E
šireletše	S i r E l E tS> E
šireletšwago	S i r E l E tS> w a G O
šireletšwa	S i r E l E tS> w a
šireletšwego	S i r E l E tS> w E G O
šireletšwe	S i r E l E tS> w E
širetša	S i r E tS> a
širetše	S i r E tS> E
široga	S i r O G a
širogego	S i r O G E G O
širogela	S i r O G E l a
široge	S i r O G E
šišimiša	S i S i m i S a
šišimišega	S i S i m i S E G a
šišingwa	S i S i N w a
šišintšego	S i S i n tS> E G O
šišintše	S i S i n tS> E
šišintšwego	S i S i n tS> w E G O
šišintšwe	S i S i n tS> w E
šišinyago	S i S i J a G O
šišinya	S i S i J a
šišinyeditšwego	S i S i J E l` i tS> w E G O
šišinye	S i S i J E
šišinywago	S i S i J w a G O
šišinywa	S i S i J w a
šišitšego	S i S i tS> E G O
šišitše	S i S i tS> E
šita	S i t> a
šitega	S i t> E G a
šitela	S i t> E l a
šitelega	S i t> E l E G a
šite	S i t> E
šitile	S i t> i l E
šitilwego	S i t> i l w E G O
šitilwe	S i t> i l w E
šitišago	S i t> i S a G O
šitiša	S i t> i S a
šitišego	S i t> i S E G O
šitiše	S i t> i S E
šitišitše	S i t> i S i tS> E
šitišitšwego	S i t> i S i tS> w E G O
šitišitšwe	S i t> i S i tS> w E
šitišwago	S i t> i S w a G O
šitišwa	S i t> i S w a
šitišwe	S i t> i S w E
šitlela	S i tl> E l a
šitletšwego	S i tl> E tS> w E G O
šitšwego	S i tS> w E G O
šitšwe	S i tS> w E
šitwago	S i t> w a G O
šitwa	S i t> w a
šitwe	S i t> w E
šiwa	S i w a
šiwe	S i w E
šobane	S O B a n E
sobela	s O B E l a
sobelela	s O B E l E l a
sobeletšago	s O B E l E tS> a G O
sofeng	s O f E N
softewere	s O f t> E w E r E
šogana	S O G a n a
šoga	S O G a
šogašogana	S O G a S O G a n a
šogašoga	S O G a S O G a
sohla	s O K a
sohle	s O K E
šokeng	S O k> E N
šokiša	S O k> i S a
sokologa	s O k> O l O G a
sokološa	s O k> O l O S a
šokwa	S O k> w a
solago	s O l a G O
solanka	s O l a n k> a
sola	s O l a
solegago	s O l E G a G O
solela	s O l E l a
solelwa	s O l E l w a
šole	S O l E
solwago	s O l w a G O
solwa	s O l w a
šomago	S O m a G O
šomanago	S O m a n a G O
šomana	S O m a n a
šomane	S O m a n E
šomang	S O m a N
šomanwe	S O m a n w E
šoma	S O m a
šomega	S O m E G a
šomelago	S O m E l a G O
šomela	S O m E l a
šomele	S O m E l E
šomelwago	S O m E l w a G O
šomelwa	S O m E l w a
šomeng	S O m E N
šome	S O m E
šometšego	S O m E tS> E G O
šometše	S O m E tS> E
šomilego	S O m i l E G O
šomile	S O m i l E
šomilwego	S O m i l w E G O
šomilwe	S O m i l w E
šomišago	S O m i S a G O
šomišanago	S O m i S a n a G O
šomišana	S O m i S a n a
šomišaneng	S O m i S a n E N
šomišane	S O m i S a n E
somiša	s O m i S a
šomiša	S O m i S a
šomišeditšwego	S O m i S E l` i tS> w E G O
šomišegago	S O m i S E G a G O
šomišega	S O m i S E G a
šomišego	S O m i S E G O
šomišeng	S O m i S E N
šomiše	S O m i S E
šomišetšago	S O m i S E tS> a G O
šomišetša	S O m i S E tS> a
šomišetšwago	S O m i S E tS> w a G O
šomišetšwa	S O m i S E tS> w a
šomišetšwe	S O m i S E tS> w E
šomišitšego	S O m i S i tS> E G O
šomišitše	S O m i S i tS> E
šomišitšwego	S O m i S i tS> w E G O
šomišitšwe	S O m i S i tS> w E
šomišwago	S O m i S w a G O
šomišwa	S O m i S w a
šomišwego	S O m i S w E G O
šomišwe	S O m i S w E
