'n	@
tyd	t @i t
tydbom	t @i t b O m
tyde	t @i d @
tydelik	t @i d @ l @ k
tydelike	t @i d @ l @ k @
tydens	t @i d @ n s
tydgenoot	t @i t x @ n u@ t
tydgenote	t @i t x @ n u@ t @
tydgleuf	t @i t x l 2: f
tydige	t @i d @ x @
tydjie	t @i k i
tydloos	t @i t l u@ s
tydlose	t @i t l u@ s @
tydlyn	t @i t l @i n
tydperk	t @i t p { r k
tydperke	t @i t p { r k @
tydren	t @i t r E n
tydrenjaer	t @i t r E n j A: @ r
tydrenne	t @i t r E n @
tydrooster	t @i t r u@ s t @ r
tydrowende	t @i t r u@ v @ n d @
tydsaam	t @i t s A: m
tydsbeplanning	t @i t s b @ p l a n @ N
tydsberekening	t @i t s b @ r i@ k @ n @ N
tydsbestuur	t @i t s b @ s t y r
tydsduur	t @i t s d y r
tydsgees	t @i t s x i@ s
tydskaal	t @i t s k A: l
tydskrif	t @i t s k r @ f
tydskrifartikel	t @i t s k r @ f a r t i k @ l
tydskrifartikels	t @i t s k r @ f a r t i k @ l s
tydskrifte	t @i t s k r @ f t @
tydstip	t @i t s t @ p
tydstoedeling	t @i t s t u d i@ l @ N
tydsverloop	t @i t s f @ r l u@ p
tydtoets	t @i t t u t s
tydvak	t @i t f a k
tydverdryf	t @i t f @ r d r @i f
tye	t @i @
tyg	t @i x
u	y
ui	9y
uie	9y @
uil	9y l
uile	9y l @
uit	9y t
uitbars	9y t b a r s
uitbarsting	9y t b a r s t @ N
uitbeeld	9y t b i@ l t
uitbeelding	9y t b i@ l d @ N
uitbeeldings	9y t b i@ l d @ N s
uitbetaal	9y t b @ t A: l
uitbetaling	9y t b @ t A: l @ N
uitbetalings	9y t b @ t A: l @ N s
uitblink	9y t b l @ N k
uitblinker	9y t b l @ N k @ r
uitblinkers	9y t b l @ N k @ r s
uitbou	9y t b @u
uitbouing	9y t b @u @ N
uitboul	9y t b @u l
uitbrand	9y t b r a n t
uitbranding	9y t b r a n d @ N
uitbreek	9y t b r i@ k
uitbrei	9y t b r @i
uitbreiding	9y t b r @i d @ N
uitbreidings	9y t b r @i d @ N s
uitbreidingsplanne	9y t b r @i d @ N s p l a n @
uitbreidingsprojek	9y t b r @i d @ N s p r u j E k
uitbring	9y t b r @ N
uitbroei	9y t b r ui
uitbuit	9y t b 9y t
uitbuiting	9y t b 9y t @ N
uitbundige	9y t b 9 n d @ x @
uitbundigheid	9y t b 9 n d @ x h\ @i t
uitdaag	9y t d A: x
uitdagend	9y t d A: x @ n t
uitdagende	9y t d A: x @ n d @
uitdager	9y t d A: x @ r
uitdaging	9y t d A: x @ N
uitdagings	9y t d A: x @ N s
uitdeel	9y t d i@ l
uitdien	9y t d i n
uitdienstrede	9y t d i n s t r i@ d @
uitdink	9y t d @ N k
uitdra	9y t d r A:
uitdraf	9y t d r a f
uitdroog	9y t d r u@ x
uitdruk	9y t d r 9 k
uitdrukking	9y t d r 9 k @ N
uitdrukkings	9y t d r 9 k @ N s
uitdruklik	9y t d r 9 k l @ k
uitdruklike	9y t d r 9 k l @ k @
uitdun	9y t d 9 n
uitdunne	9y t d 9 n @
uitdunning	9y t d 9 n @ N
uiteen	9y t i@ n
uiteengejaag	9y t i@ n x @ j A: x
uiteengesit	9y t i@ n x @ s @ t
uiteenlopend	9y t i@ n l u@ p @ n t
uiteenlopende	9y t i@ n l u@ p @ n d @
uiteensetting	9y t i@ n s E t @ N
uiteet	9y t i@ t
uiteinde	9y t @i n d @
uiteindelik	9y t @i n d @ l @ k
uiteindelike	9y t @i n d @ l @ k @
uiter	9y t @ r
uiteraard	9y t @ r A: r t
uiterlik	9y t @ r l @ k
uiterlike	9y t @ r l @ k @
uitermate	9y t @ r m A: t @
uitermatige	9y t @ r m A: t @ x @
uiters	9y t @ r s
uiterste	9y t @ r s t @
uiterstes	9y t @ r s t @ s
uitfasering	9y t f a s i@ r @ N
uitgaan	9y t x A: n
uitgaande	9y t x A: n d @
uitgang	9y t x a N
uitgangspunt	9y t x a N s p 9 n t
uitgangspunte	9y t x a N s p 9 n t @
uitgawe	9y t x A: v @
uitgawerekening	9y t x A: v @ r i@ k @ n @ N
uitgawes	9y t x A: v @ s
uitgebars	9y t x @ b a r s
uitgebeeld	9y t x @ b i@ l t
uitgeblink	9y t x @ b l @ N k
uitgeboender	9y t x @ b u n d @ r
uitgebou	9y t x @ b @u
uitgeboul	9y t x @ b @u l
uitgebrand	9y t x @ b r a n t
uitgebrande	9y t x @ b r a n d @
uitgebreek	9y t x @ b r i@ k
uitgebrei	9y t x @ b r @i
uitgebreide	9y t x @ b r @i d @
uitgebring	9y t x @ b r @ N
uitgebroei	9y t x @ b r ui
uitgebuit	9y t x @ b 9y t
uitgedaag	9y t x @ d A: x
uitgedeel	9y t x @ d i@ l
uitgedien	9y t x @ d i n
uitgediende	9y t x @ d i n d @
uitgedink	9y t x @ d @ N k
uitgedra	9y t x @ d r A:
uitgedraf	9y t x @ d r a f
uitgedruk	9y t x @ d r 9 k
uitgedryf	9y t x @ d r @i f
uitgedun	9y t x @ d 9 n
uitgee	9y t x i@
uitgegaan	9y t x @ x A: n
uitgegee	9y t x @ x i@
uitgegooi	9y t x @ x O:i
uitgegrawe	9y t x @ x r A: v @
uitgehaal	9y t x @ h\ A: l
uitgehang	9y t x @ h\ a N
uitgehardloop	9y t x @ h\ a r t l u@ p
uitgehonger	9y t x @ h\ O N @ r
uitgehou	9y t x @ h\ @u
uitgekap	9y t x @ k a p
uitgekeer	9y t x @ k i@ r
uitgeken	9y t x @ k E n
uitgekerf	9y t x @ k { r f
uitgeklim	9y t x @ k l @ m
uitgeknikker	9y t x @ k n @ k @ r
uitgeknip	9y t x @ k n @ p
uitgekom	9y t x @ k O m
uitgekontrakteer	9y t x @ k O n t r a k t i@ r
uitgekoop	9y t x @ k u@ p
uitgekyk	9y t x @ k @i k
uitgelaat	9y t x @ l A: t
uitgeleef	9y t x @ l i@ f
uitgelek	9y t x @ l { k
uitgelewer	9y t x @ l i@ v @ r
uitgelig	9y t x @ l @ x
uitgelok	9y t x @ l O k
uitgeloof	9y t x @ l u@ f
uitgeloop	9y t x @ l u@ p
uitgemaak	9y t x @ m A: k
uitgemaakte	9y t x @ m A: k t @
uitgemunt	9y t x @ m 9 n t
uitgeneem	9y t x @ n i@ m
uitgenooi	9y t x @ n O:i
uitgeoefen	9y t x @ u f @ n
uitgeplaas	9y t x @ p l A: s
uitgepluis	9y t x @ p l 9y s
uitgepluk	9y t x @ p l 9 k
uitgepraat	9y t x @ p r A: t
uitgeput	9y t x @ p 9 t
uitgeputte	9y t x @ p 9 t @
uitgereik	9y t x @ r @i k
uitgereikte	9y t x @ r @i k t @
uitgerekte	9y t x @ r E k t @
uitgerig	9y t x @ r @ x
uitgeroei	9y t x @ r ui
uitgeroep	9y t x @ r u p
uitgeruil	9y t x @ r 9y l
uitgeruk	9y t x @ r 9 k
uitgerus	9y t x @ r 9 s
uitgery	9y t x @ r @i
uitgesaai	9y t x @ s A:i
uitgesak	9y t x @ s a k
uitgesien	9y t x @ s i n
uitgeskakel	9y t x @ s k A: k @ l
uitgeskei	9y t x @ s k @i
uitgeskel	9y t x @ s k { l
uitgeskop	9y t x @ s k O p
uitgeskryf	9y t x @ s k r @i f
uitgeskuif	9y t x @ s k 9y f
uitgeslaan	9y t x @ s l A: n
uitgeslape	9y t x @ s l A: p @
uitgesluit	9y t x @ s l 9y t
uitgesny	9y t x @ s n @i
uitgesoek	9y t x @ s u k
uitgesoekte	9y t x @ s u k t @
uitgesonder	9y t x @ s O n d @ r
uitgesonderd	9y t x @ s O n d @ r t
uitgesorteer	9y t x @ s O r t i@ r
uitgespan	9y t x @ s p a n
uitgespeel	9y t x @ s p i@ l
uitgespel	9y t x @ s p { l
uitgespook	9y t x @ s p u@ k
uitgespreek	9y t x @ s p r i@ k
uitgesprei	9y t x @ s p r @i
uitgespring	9y t x @ s p r @ N
uitgesproke	9y t x @ s p r u@ k @
uitgestaan	9y t x @ s t A: n
uitgestal	9y t x @ s t a l
uitgestap	9y t x @ s t a p
uitgesteek	9y t x @ s t i@ k
uitgestel	9y t x @ s t { l
uitgestelde	9y t x @ s t { l d @
uitgestippel	9y t x @ s t @ p @ l
uitgestof	9y t x @ s t O f
uitgestoot	9y t x @ s t u@ t
uitgestort	9y t x @ s t O r t
uitgestrek	9y t x @ s t r { k
uitgestrekte	9y t x @ s t r { k t @
uitgestuur	9y t x @ s t y r
uitgeswaai	9y t x @ s w A:i
uitgetrap	9y t x @ t r a p
uitgetree	9y t x @ t r i@
uitgetrek	9y t x @ t r { k
uitgetroon	9y t x @ t r u@ n
uitgevaardig	9y t x @ f A: r d @ x
uitgeval	9y t x @ f a l
uitgevang	9y t x @ f a N
uitgevee	9y t x @ f i@
uitgevind	9y t x @ f @ n t
uitgevoer	9y t x @ f u r
uitgevra	9y t x @ f r A:
uitgewei	9y t x @ v @i
uitgewekene	9y t x @ v i@ k @ n @
uitgewekenes	9y t x @ v i@ k @ n @ s
uitgewer	9y t x i@ v @ r
uitgewerk	9y t x @ v { r k
uitgewerkte	9y t x @ v { r k t @
uitgewers	9y t x i@ v @ r s
uitgewersmaatskappy	9y t x i@ v @ r s m A: t s k a p @i
uitgewery	9y t x i@ v @ r @i
uitgewerye	9y t x i@ v @ r @i @
uitgewis	9y t x @ v @ s
uitgewys	9y t x @ v @i s
uitgifte	9y t x @ f t @
uitgifteprys	9y t x @ f t @ p r @i s
uitgooi	9y t x O:i
uitgrawings	9y t x r A: v @ N s
uithaal	9y t h\ A: l
uithang	9y t h\ a N
uithardloop	9y t h\ a r t l u@ p
uitheemse	9y t h\ i@ m s @
uithoek	9y t h\ u k
uithoeke	9y t h\ u k @
uithou	9y t h\ @u
uithouvermoë	9y t h\ @u f @ r m u @
uiting	9y t @ N
uitinge	9y t @ N @
uitkeer	9y t k i@ r
uitken	9y t k E n
uitkenning	9y t k E n @ N
uitkenningsparade	9y t k E n @ N s p a r A: d @
uitkering	9y t k i@ r @ N
uitkerings	9y t k i@ r @ N s
uitklaring	9y t k l A: r @ N
uitklim	9y t k l @ m
uitklophou	9y t k l O p h\ @u
uitklophoue	9y t k l O p h\ @u @
uitkom	9y t k O m
uitkoms	9y t k O m s
uitkomste	9y t k O m s t @
uitkoop	9y t k u@ p
uitkring	9y t k r @ N
uitkyk	9y t k @i k
uitlaat	9y t l A: t
uitlaatgasse	9y t l A: t x a s @
uitlaatpyp	9y t l A: t p @i p
uitlaatstelsel	9y t l A: t s t { l s @ l
uitlaatstelsels	9y t l A: t s t { l s @ l s
uitlanders	9y t l a n d @ r s
uitlating	9y t l A: t @ N
uitlatinge	9y t l A: t @ N @
uitlatings	9y t l A: t @ N s
uitleef	9y t l i@ f
uitleen	9y t l i@ n
uitleenkoers	9y t l i@ n k u r s
uitleenkoerse	9y t l i@ n k u r s @
uitleg	9y t l { x
uitlek	9y t l { k
uitlewer	9y t l i@ v @ r
uitlewering	9y t l i@ v @ r @ N
uitlewing	9y t l i@ v @ N
uitlig	9y t l @ x
uitlok	9y t l O k
uitlokking	9y t l O k @ N
uitloop	9y t l u@ p
uitlos	9y t l O s
uitmaak	9y t m A: k
uitmekaar	9y t m @ k A: r
uitmond	9y t m O n t
uitmuntend	9y t m 9 n t @ n t
uitmuntende	9y t m 9 n t @ n d @
uitmuntendheid	9y t m 9 n t @ n t h\ @i t
uitneem	9y t n i@ m
uitnemende	9y t n i@ m @ n d @
uitnemendheid	9y t n i@ m @ n t h\ @i t
uitnodiging	9y t n u@ d @ x @ N
uitnodigings	9y t n u@ d @ x @ N s
uitnodigingspan	9y t n u@ d @ x @ N s p a n
uitnooi	9y t n O:i
uitoefen	9y t u f @ n
uitoefening	9y t u f @ n @ N
uitoorlê	9y t u@ r l E
uitpluis	9y t p l 9y s
uitpraat	9y t p r A: t
uitputtend	9y t p 9 t @ n t
uitputting	9y t p 9 t @ N
uitrafel	9y t r A: f @ l
uitreik	9y t r @i k
uitreiking	9y t r @i k @ N
uitreikings	9y t r @i k @ N s
uitrig	9y t r @ x
uitroei	9y t r ui
uitroep	9y t r u p
uitroepe	9y t r u p @
uitruil	9y t r 9y l
uitruiling	9y t r 9y l @ N
uitruilstudent	9y t r 9y l s t y d E n t
uitrusting	9y t r 9 s t @ N
uitrustings	9y t r 9 s t @ N s
uitry	9y t r @i
uitsaai	9y t s A:i
uitsaaibedryf	9y t s A:i b @ d r @i f
uitsaaidiens	9y t s A:i d i n s
uitsaaidienste	9y t s A:i d i n s t @
uitsaaier	9y t s A:i @ r
uitsaaiers	9y t s A:i @ r s
uitsaaikorporasie	9y t s A:i k O r p O r A: s i
uitsaailisensie	9y t s A:i l @ s E n s i
uitsaailisensies	9y t s A:i l @ s E n s i s
uitsaaiwese	9y t s A:i v i@ s @
uitsak	9y t s a k
uitsending	9y t s E n d @ N
uitsendings	9y t s E n d @ N s
uitset	9y t s E t
uitsetting	9y t s E t @ N
uitsettings	9y t s E t @ N s
uitsettingsbevel	9y t s E t @ N s b @ f { l
uitsien	9y t s i n
uitsig	9y t s @ x
uitsigte	9y t s @ x t @
uitsit	9y t s @ t
uitskakel	9y t s k A: k @ l
uitskakeling	9y t s k A: k @ l @ N
uitskryf	9y t s k r @i f
uitslaap	9y t s l A: p
uitslae	9y t s l A: @
uitslag	9y t s l a x
uitsluit	9y t s l 9y t
uitsluitend	9y t s l 9y t @ n t
uitsluitende	9y t s l 9y t @ n d @
uitsluiting	9y t s l 9y t @ N
uitsluitlik	9y t s l 9y t l @ k
uitsluitlike	9y t s l 9y t l @ k @
uitsluitsel	9y t s l 9y t s @ l
uitsmyters	9y t s m @i t @ r s
uitsny	9y t s n @i
uitsoek	9y t s u k
uitsonder	9y t s O n d @ r
uitsondering	9y t s O n d @ r @ N
uitsonderings	9y t s O n d @ r @ N s
uitsonderlik	9y t s O n d @ r l @ k
uitsonderlike	9y t s O n d @ r l @ k @
uitspan	9y t s p a n
uitspeelwedstryd	9y t s p i@ l v E t s t r @i t
uitspel	9y t s p { l
uitspoel	9y t s p u l
uitspook	9y t s p u@ k
uitspraak	9y t s p r A: k
uitsprake	9y t s p r A: k @
uitspreek	9y t s p r i@ k
uitspring	9y t s p r @ N
uitstaan	9y t s t A: n
uitstaande	9y t s t A: n d @
uitstal	9y t s t a l
uitstalling	9y t s t a l @ N
uitstallings	9y t s t a l @ N s
uitstallokaal	9y t s t a l l u k A: l
uitstap	9y t s t a p
uitstappery	9y t s t a p @ r @i
uitstappie	9y t s t a p i
uitstappies	9y t s t a p i s
uitstedig	9y t s t i@ d @ x
uitsteek	9y t s t i@ k
uitstek	9y t s t E k
uitstekend	9y t s t i@ k @ n t
uitstekende	9y t s t i@ k @ n d @
uitstel	9y t s t { l
uitstoot	9y t s t u@ t
uitstuur	9y t s t y r
uittog	9y t O x
uittrede	9y t r i@ d @
uittredende	9y t r i@ d @ n d @
uittree	9y t r i@
uittrek	9y t r { k
uittreksel	9y t r { k s @ l
uittreksels	9y t r { k s @ l s
uittroon	9y t r u@ n
uitval	9y t f a l
uitvang	9y t f a N
uitvee	9y t f i@
uitverkiesing	9y t f @ r k i s @ N
uitverkoop	9y t f @ r k u@ p
uitverkoping	9y t f @ r k u@ p @ N
uitvind	9y t f @ n t
uitvinding	9y t f @ n d @ N
uitvindsel	9y t f @ n t s @ l
uitvindsels	9y t f @ n t s @ l s
uitvloei	9y t f l ui
uitvloeisel	9y t f l ui s @ l
uitvloeisels	9y t f l ui s @ l s
uitvoer	9y t f u r
uitvoerder	9y t f u r d @ r
uitvoerders	9y t f u r d @ r s
uitvoere	9y t f u r @
uitvoerende	9y t f u r @ n d @
uitvoerig	9y t f u r @ x
uitvoering	9y t f u r @ N
uitvoerings	9y t f u r @ N s
uitvoerlande	9y t f u r l a n d @
uitvoermark	9y t f u r m a r k
uitvoermarkte	9y t f u r m a r k t @
uitvoerproduk	9y t f u r p r u d 9 k
uitvoerprodukte	9y t f u r p r u d 9 k t @
uitvoerverdienste	9y t f u r f @ r d i n s t @
uitvra	9y t f r A:
uitweg	9y t v { x
uitwei	9y t v @i
uitwendige	9y t v E n d @ x @
uitwerk	9y t v { r k
uitwerking	9y t v { r k @ N
uitwerkings	9y t v { r k @ N s
uitwis	9y t v @ s
uitwissing	9y t v @ s @ N
uitwyk	9y t v @i k
uitwys	9y t v @i s
ultimatum	9 l t i m A: t 9 m
ultra	u l t r a
unie	y n i
uniegebou	y n i x @ b @u
uniek	y n i k
unieke	y n i k @
uniekheid	y n i k h\ @i t
unies	y n i s
unifikasie	y n i f i k A: s i
uniform	y n i f O r @ m
uniforme	y n i f O r @ m @
uniforms	y n i f O r @ m s
unitêre	y n i t { r @
universeel	y n i v { r s i@ l
universele	y n i v { r s i@ l @
universiteit	y n i v { r s i t @i t
universiteite	y n i v { r s i t @i t @
universiteitsoord	y n i v { r s i t @i t s u@ r t
universiteitsopleiding	y n i v { r s i t @i t s O p l @i d @ N
universiteitsowerhede	y n i v { r s i t @i t s u@ v @ r h\ i@ d @
universiteitsraad	y n i v { r s i t @i t s r A: t
universiteitstoelating	y n i v { r s i t @i t s t u l A: t @ N
uraan	y r A: n
ure	y r @
urien	y r i n
uriensuur	y r i n s y r
urine	y r i n @
urineer	y r i n i@ r
urinering	y r i n i@ r @ N
urinêre	y r i n { r @
uself	y s { l f
utopiese	y t u@ p i s @
uur	y r
uurglas	y r x l a s
uurliks	y r l @ k s
uurse	y r s @
uwe	y v @
vaag	f A: x
vaagheid	f A: x h\ @i t
vaagste	f A: x s t @
vaagweg	f A: x v { x
vaal	f A: l
vaaldriehoekkampus	f A: l d r i h\ u k k a m p 9 s
vaandel	f A: n d @ l
vaar	f A: r
vaardig	f A: r d @ x
vaardige	f A: r d @ x @
vaardighede	f A: r d @ x h\ i@ d @
vaardigheid	f A: r d @ x h\ @i t
vaardigheidsontwikkeling	f A: r d @ x h\ @i t s O n t v @ k @ l @ N
vaardigheidsvlak	f A: r d @ x h\ @i t s f l a k
vaart	f A: r t
vaartbelyn	f A: r t b @ l @i n
vaartbelynde	f A: r t b @ l @i n d @
vaartuie	f A: r t 9y @
vaartuig	f A: r t 9y x
vaarwel	f A: r v { l
vaas	f A: s
vaatjie	f A:i k i
vaatweefsel	f A: t v i@ f s @ l
vader	f A: d @ r
vaderland	f A: d @ r l a n t
vaderlike	f A: d @ r l @ k @
vaders	f A: d @ r s
vaderskap	f A: d @ r s k a p
vadoek	f a d u k
vae	f A: @
vagina	f a x i n a
vak	f a k
vakansie	f a k a n s i
vakansiedae	f a k a n s i d A: @
vakansiedag	f a k a n s i d a x
vakansieganger	f a k a n s i x a N @ r
vakansiegangers	f a k a n s i x a N @ r s
vakansieoord	f a k a n s i u@ r t
vakansieoorde	f a k a n s i u@ r d @
vakansieprogramme	f a k a n s i p r u x r a m @
vakansies	f a k a n s i s
vakansieseisoen	f a k a n s i s @i s u n
vakansietoer	f a k a n s i t u r
vakansietyd	f a k a n s i t @i t
vakansietye	f a k a n s i t @i @
vakansiewerk	f a k a n s i v { r k
vakant	f a k a n t
vakante	f a k a n t @
vakatures	f a k a t y r @ s
vakbond	f a k b O n t
vakbondbeweging	f a k b O n t b @ v i@ x @ N
vakbonde	f a k b O n d @
vakbondlede	f a k b O n t l i@ d @
vakbondleier	f a k b O n t l @i @ r
vakbondleiers	f a k b O n t l @i @ r s
vakbondverteenwoordigers	f a k b O n t f @ r t i@ n v u@ r d @ x @ r s
vakbondwese	f a k b O n t v i@ s @
vakdidaktiek	f a k d i d a k t i k
vakdidaktieklêer	f a k d i d a k t i k l { @ r
vakdidaktiese	f a k d i d a k t i s @
vakdissiplines	f a k d @ s @ p l i n @ s
vakgroepe	f a k x r u p @
vakinhoudelike	f a k @ n h\ @u d @ l @ k @
vakke	f a k @
vakkennis	f a k k E n @ s
vakkode	f a k k u@ d @
vakkundige	f a k k 9 n d @ x @
vakleerling	f a k l i@ r l @ N
vakleerlinge	f a k l i@ r l @ N @
vakleerlingskap	f a k l i@ r l @ N s k a p
vakliteratuur	f a k l @ t @ r a t y r
vakman	f a k m a n
vakmanskap	f a k m a n s k a p
vakmetodiek	f a k m E t u d i k
vakspesifieke	f a k s p E s @ f i k @
vaktaal	f a k t A: l
vakterme	f a k t { r m @
vakterminologie	f a k t { r m i n u l u x i
vaktydskrif	f a k t @i t s k r @ f
vakuum	v a k y m
vakverbond	f a k f @ r b O n t
vakverbonde	f a k f @ r b O n d @
val	f a l
valbyl	f a l b @i l
valbylpot	f a l b @i l p O t
vale	f A: l @
valhelm	f a l h\ { l @ m
valk	f a l k
valke	f a l k @
valle	f a l @
vallei	f a l @i
valleie	f a l @i @
vals	f a l s
valse	f a l s @
valsheid	f a l s h\ @i t
valskermspringers	f a l s k { r @ m s p r @ N @ r s
valslik	f a l s l @ k
valuta	v a l y t a
valutabeheer	v a l y t a b @ h\ i@ r
valutamarkte	v a l y t a m a r k t @
valutareserwes	v a l y t a r @ z { r v @ s
vampier	v a m p i r
vampiere	v a m p i r @
van	f a n
vanaand	f a n A: n t
vanadium	f a n A: d i 9 m
vanaf	f a n a f
vandaan	f a n d A: n
vandaar	f a n d A: r
vandag	f a n d a x
vandale	f a n d A: l @
vandalisme	f a n d a l @ s m @
vandat	f a n d a t
vandeesmaand	f a n d i@ s m A: n t
vandeesweek	f a n d i@ s v i@ k
vang	f a N
vangate	f a N x A: t @
vangkans	f a N k A: n s
vangs	f a N s
vangskoot	f a N s k u@ t
vangskote	f a N s k u@ t @
vangste	f a N s t @
vangwa	f a N v A:
vanieljegeursel	v a n i l j @ x 2: r s @ l
vanjaar	f a n j A: r
vanmiddag	f a n m @ d a x
vanmore	f a n m u@ r @
vannag	f a n a x
vanoggend	f a n O x @ n t
vanself	f a n s { l f
vanselfsprekend	f a n s { l f s p r i@ k @ n t
vantevore	f a n t @ f u@ r @
vanuit	f a n 9y t
vanwaar	f a n v A: r
vanweë	f a n v i @
variante	v a r i a n t @
variasie	v a r i A: s i
variasies	v a r i A: s i s
varieer	v a r i i@ r
varing	f A: r @ N
variëteite	v a r i @ t @i t @
vark	f a r k
varke	f a r k @
varkie	f a r k i
varkies	f a r k i s
vars	f a r s
varsheid	f a r s h\ @i t
varswater	f a r s v A: t @ r
vas	f a s
vasberade	f a s b @ r A: d @
vasberadenheid	f a s b @ r A: d @ n h\ @i t
vasbeslote	f a s b @ s l u@ t @
vasbyt	f a s b @i t
vasdruk	f a s d r 9 k
vase	f A: s @
vasgebind	f a s x @ b @ n t
vasgebyt	f a s x @ b @i t
vasgedruk	f a s x @ d r 9 k
vasgegryp	f a s x @ x r @i p
vasgehaak	f a s x @ h\ A: k
vasgehardloop	f a s x @ h\ a r t l u@ p
vasgehou	f a s x @ h\ @u
vasgejaag	f a s x @ j A: x
vasgekeer	f a s x @ k i@ r
vasgekeerde	f a s x @ k i@ r d @
vasgeketting	f a s x @ k E t @ N
vasgeklem	f a s x @ k l E m
vasgeloop	f a s x @ l u@ p
vasgelê	f a s x @ l E
vasgemaak	f a s x @ m A: k
vasgenael	f a s x @ n A: @ l
vasgepen	f a s x @ p E n
vasgery	f a s x @ r @i
vasgesit	f a s x @ s @ t
vasgeskop	f a s x @ s k O p
vasgesteek	f a s x @ s t i@ k
vasgestel	f a s x @ s t { l
vasgestelde	f a s x @ s t { l d @
vasgetrek	f a s x @ t r { k
vasgeval	f a s x @ f a l
vasgevang	f a s x @ f a N
vasgevat	f a s x @ f a t
vashou	f a s h\ @u
vaskap	f a s k a p
vasklou	f a s k l @u
vaskop	f a s k O p
vaskopflank	f a s k O p f l a N k
vaskopkant	f a s k O p k a n t
vaskoppe	f a s k O p @
vaskopstut	f a s k O p s t 9 t
vaskyk	f a s k @i k
vaslê	f a s l E
vasmaak	f a s m A: k
vaspen	f a s p E n
vasskop	f a s s k O p
vassteek	f a s s t i@ k
vasstel	f a s s t { l
vasstelling	f a s s t { l @ N
vaste	f a s t @
vasteland	f a s t @ l a n t
vastestof	f a s t @ s t O f
vastrap	f a s t r a p
vastrapplek	f a s t r a p p l { k
vastrek	f a s t r { k
vasvang	f a s f a N
vasvat	f a s f a t
vasvra	f a s f r A:
vat	f a t
vatbaar	f a t b A: r
vate	f A: t @
vee	f i@
veearts	f i@ a r t s
veeartse	f i@ a r t s @
veeartsenykundige	f i@ a r t s @ n @i k 9 n d @ x @
veeboere	f i@ b u r @
veediewe	f i@ d i v @
veel	f i@ l
veelbesproke	f i@ l b @ s p r u@ k @
veeleisend	f i@ l @i s @ n t
veeleisende	f i@ l @i s @ n d @
veelheid	f i@ l h\ @i t
veelparty	f i@ l p a r t @i
veelrassige	f i@ l r a s @ x @
veels	f i@ l s
veelseggend	f i@ l s { x @ n t
veelseggende	f i@ l s { x @ n d @
veelsydige	f i@ l s @i d @ x @
veelsydigheid	f i@ l s @i d @ x h\ @i t
veelsydigste	f i@ l s @i d @ x s t @
veeltalige	f i@ l t A: l @ x @
veeltaligheid	f i@ l t A: l @ x h\ @i t
veelvoudige	f i@ l f @u d @ x @
veelvuldige	f i@ l f 9 l d @ x @
veen	f i@ n
veeposte	f i@ p O s t @
veer	f i@ r
veerkragtigheid	f i@ r k r a x t @ x h\ @i t
veerstelsel	f i@ r s t { l s @ l
veertien	f i@ r t i n
veertiende	f i@ r t i n d @
veertienjarige	f i@ r t i n j A: r @ x @
veertig	f i@ r t @ x
veertigste	f i@ r t @ x s t @
veevoer	f i@ f u r
veg	f { x
vegetariese	v E x @ t A: r i s @
veggees	f { x i@ s
vegtende	f { x t @ n d @
vegter	f { x t @ r
vegters	f { x t @ r s
vegvliegtuie	f { x f l i x t 9y @
vegvliegtuig	f { x f l i x t 9y x
veil	f @i l
veilig	f @i l @ x
veilige	f @i l @ x @
veiliger	f @i l @ x @ r
veiligheid	f @i l @ x h\ @i t
veiligheids	f @i l @ x h\ @i t s
veiligheidsaspekte	f @i l @ x h\ @i t s a s p E k t @
veiligheidsbeampte	f @i l @ x h\ @i t s b @ a m p t @
veiligheidsbeamptes	f @i l @ x h\ @i t s b @ a m p t @ s
veiligheidsgordels	f @i l @ x h\ @i t s x O r d @ l s
veiligheidshekke	f @i l @ x h\ @i t s h\ { k @
veiligheidskomitee	f @i l @ x h\ @i t s k O m @ t i@
veiligheidsmagte	f @i l @ x h\ @i t s m a x t @
veiligheidspersoneel	f @i l @ x h\ @i t s p { r s u n i@ l
veiligheidspolisie	f @i l @ x h\ @i t s p u l i s i
veiligheidspolisiemanne	f @i l @ x h\ @i t s p u l i s i m a n @
veiligheidsraad	f @i l @ x h\ @i t s r A: t
veiligheidsredes	f @i l @ x h\ @i t s r i@ d @ s
veiligheidstandaarde	f @i l @ x h\ @i t s t a n d A: r d @
veiligheidstelsel	f @i l @ x h\ @i t s t { l s @ l
veiligheidswag	f @i l @ x h\ @i t s v a x
veiligheidswagte	f @i l @ x h\ @i t s v a x t @
veiligheidswetgewing	f @i l @ x h\ @i t s v E t x i@ v @ N
veiligste	f @i l @ x s t @
veiling	f @i l @ N
veilings	f @i l @ N s
vektor	v E k t O r
vel	f { l
veld	f { l t
veldbrand	f { l t b r a n t
veldbrande	f { l t b r a n d @
velddrif	f { l t d r @ f
velde	f { l d @
veldekskursie	f { l t E k s k 9 r s i
veldkornet	f { l t k O r n E t
veldloop	f { l t l u@ p
veldren	f { l t r E n
veldrenne	f { l t r E n @
veldslae	f { l t s l A: @
veldslag	f { l t s l a x
veldsman	f { l t s m a n
veldtog	f { l t O x
veldtogte	f { l t O x t @
veldwagter	f { l t v a x t @ r
veldwagters	f { l t v a x t @ r s
veldwerk	f { l t v { r k
veldwerkers	f { l t v { r k @ r s
vele	f i@ l @
velerlei	f i@ l @ r l @i
velkleur	f { l k l 2: r
velle	f { l @
