'em	@ m
trabi	t r\ { b i
trace	t r\ @i s
traceable	t r\ @i s @ b @ l
traced	t r\ @i s t
tracer	t r\ @i s @ r\
traceries	t r\ @i s @ r\ i z
tracers	t r\ @i s @ z
tracery	t r\ @i s @ r\ i
traces	t r\ @i s @ s
trachea	t r\ @ k i@
tracheae	t r\ @ k i i
trachoma	t r\ @ k @u m @
tracing	t r\ @i s i N
tracings	t r\ @i s i N z
track	t r\ { k
tracked	t r\ { k t
tracker	t r\ { k @ r\
trackers	t r\ { k @ z
tracking	t r\ { k i N
trackless	t r\ { k l @ s
tracks	t r\ { k s
tract	t r\ { k t
tractabilities	t r\ { k t @ b i l i t i z
tractability	t r\ { k t @ b i l i t i
tractable	t r\ { k t @ b @ l
traction	t r\ { k S @ n
tractor	t r\ { k t @ r\
tractors	t r\ { k t @ z
tracts	t r\ { k t s
tracy	t r\ @i s i
trad	t r\ { d
trade	t r\ @i d
traded	t r\ @i d @ d
trademark	t r\ @i d m A: k
trademarks	t r\ @i d m A: k s
trader	t r\ @i d @ r\
traders	t r\ @i d @ z
trades	t r\ @i d z
tradesfolk	t r\ @i d z f @u k
tradesman	t r\ @i d z m @ n
tradesmen	t r\ @i d z m @ n
tradespeople	t r\ @i d z p i: p @ l
trading	t r\ @i d i N
tradition	t r\ @ d i S @ n
traditional	t r\ @ d i S @ n @ l
traditionalism	t r\ @ d i S @ n @ l @ z @ m
traditionalist	t r\ @ d i S @ n @ l @ s t
traditionalists	t r\ @ d i S @ n @ l @ s t s
traditionally	t r\ @ d i S @ n @ l i
traditions	t r\ @ d i S @ n z
traduce	t r\ @ d j u: s
traduced	t r\ @ d j u: s t
traducer	t r\ @ d j u: s @ r\
traducers	t r\ @ d j u: s @ z
traduces	t r\ @ d j u: s @ s
traducing	t r\ @ d j u: s i N
traffic	t r\ { f i k
trafficator	t r\ { f i k @i t @ r\
trafficators	t r\ { f i k @i t @ z
trafficked	t r\ { f i k t
trafficker	t r\ { f i k @ r\
traffickers	t r\ { f i k @ z
trafficking	t r\ { f i k i N
traffics	t r\ { f i k s
tragedian	t r\ @ d0Z i: d i@ n
tragedians	t r\ @ d0Z i: d i@ n z
tragedienne	t r\ @ d0Z i: d i E n
tragediennes	t r\ @ d0Z i: d i E n z
tragedies	t r\ { d0Z @ d i z
tragedy	t r\ { d0Z @ d i
tragic	t r\ { d0Z i k
tragically	t r\ { d0Z i k l i
tragicomedies	t r\ { d0Z i k Q m @ d i z
tragicomedy	t r\ { d0Z i k Q m @ d i
tragicomic	t r\ { d0Z i k Q m i k
trail	t r\ @i l
trailed	t r\ @i l d
trailer	t r\ @i l @ r\
trailers	t r\ @i l @ z
trailing	t r\ @i l i N
trails	t r\ @i l z
train	t r\ @i n
trainbearer	t r\ @i n b e@ r\ @ r\
trainbearers	t r\ @i n b e@ r\ @ z
trained	t r\ @i n d
trainee	t r\ @i n i
trainees	t r\ @i n i: z
trainer	t r\ @i n @ r\
trainers	t r\ @i n @ z
training	t r\ @i n i N
trainload	t r\ @i n l @u d
trainloads	t r\ @i n l @u d z
trainman	t r\ @i n m { n
trainmen	t r\ @i n m E n
trains	t r\ @i n z
traipse	t r\ @i p s
traipsed	t r\ @i p s t
traipses	t r\ @i p s @ s
traipsing	t r\ @i p s i N
trait	t r\ @i t
traitor	t r\ @i t @ r\
traitorous	t r\ @i t @ r\ @ s
traitorously	t r\ @i t @ r\ @ s l i
traitors	t r\ @i t @ z
traitress	t r\ @i t r\ @ s
traitresses	t r\ @i t r\ @ s @ s
traits	t r\ @i t s
trajectories	t r\ @ d0Z E k t @ r\ i z
trajectory	t r\ @ d0Z E k t @ r\ i
tralee	t r\ @ l i
tram	t r\ { m
tramline	t r\ { m l ai n
tramlines	t r\ { m l ai n z
trammel	t r\ { m @ l
trammelled	t r\ { m @ l d
trammelling	t r\ { m @ l i N
trammels	t r\ { m @ l z
tramp	t r\ { m p
tramped	t r\ { m p t
tramping	t r\ { m p i N
trample	t r\ { m p @ l
trampled	t r\ { m p @ l d
tramples	t r\ { m p @ l z
trampling	t r\ { m p l i N
trampoline	t r\ { m p @ l i: n
trampolines	t r\ { m p @ l i: n z
tramps	t r\ { m p s
trams	t r\ { m z
tramway	t r\ { m w @i
tramways	t r\ { m w @i z
trance	t r\ A: n s
trances	t r\ A: n s @ s
tranent	t r\ @ n E n t
tranquil	t r\ { N k w @ l
tranquility	t r\ { n k w i l i t i
tranquilize	t r\ { n k w @ l ai z
tranquilized	t r\ { n k w @ l ai z d
tranquilizes	t r\ { n k w @ l ai z @ z
tranquilizing	t r\ { n k w @ l ai z i N
tranquillity	t r\ { n k w i l i t i
tranquillize	t r\ { n k w @ l ai z
tranquillized	t r\ { n k w @ l ai z d
tranquillizer	t r\ { n k w @ l ai z @ r\
tranquillizers	t r\ { n k w @ l ai z @ z
tranquillizes	t r\ { n k w @ l ai z @ z
tranquillizing	t r\ { n k w @ l ai z i N
tranquilly	t r\ { N k w i l i
trans	t r\ { n z
transact	t r\ { n z { k t
transacted	t r\ { n z { k t @ d
transacting	t r\ { n z { k t i N
transaction	t r\ { n z { k S @ n
transactions	t r\ { n z { k S @ n z
transacts	t r\ { n z { k t s
transalpine	t r\ { n z { l p ai n
transalpines	t r\ { n z { l p ai n z
transatlantic	t r\ { n z @ t l { n t i k
transcend	t r\ { n s E n d
transcended	t r\ { n s E n d @ d
transcendence	t r\ { n s E n d @ n s
transcendency	t r\ { n s E n d @ n s i
transcendent	t r\ { n s E n d @ n t
transcendental	t r\ { n s E n d E n t @ l
transcendentalism	t r\ { n s E n d E n t @ l @ z @ m
transcendentalist	t r\ { n s E n d E n t @ l @ s t
transcendentalists	t r\ { n s E n d E n t @ l @ s t s
transcendentally	t r\ { n s @ n d E n t @ l i
transcending	t r\ { n s E n d i N
transcends	t r\ { n s E n d z
transcontinental	t r\ { n z k Q n t i n E n t @ l
transcribe	t r\ { n s k r\ ai b
transcribed	t r\ { n s k r\ ai b d
transcribes	t r\ { n s k r\ ai b z
transcribing	t r\ { n s k r\ ai b i N
transcript	t r\ { n s k r\ @ p t
transcription	t r\ { n s k r\ @ p S @ n
transcriptions	t r\ { n s k r\ @ p S @ n z
transcripts	t r\ { n s k r\ @ p t s
transept	t r\ { n s E p t
transepts	t r\ { n s E p t s
transfer	t r\ { n s f 3: r\
transferability	t r\ { n s f 3: r\ @ b i l i t i
transferable	t r\ { n s f 3: r\ @ b @ l
transference	t r\ { n s f @ r\ @ n s
transferences	t r\ { n s f @ r\ @ n s @ s
transferred	t r\ { n s f 3: d
transferring	t r\ { n s f 3: r\ i N
transfers	t r\ { n s f 3: z
transfiguration	t r\ { n s f i g @ r\ @i S @ n
transfigurations	t r\ { n s f i g @ r\ @i S @ n z
transfigure	t r\ { n s f i g @ r\
transfigured	t r\ { n s f i g @ d
transfigures	t r\ { n s f i g @ z
transfiguring	t r\ { n s f i g @ r\ i N
transfix	t r\ { n s f i k s
transfixed	t r\ { n s f i k s t
transfixes	t r\ { n s f i k s @ s
transfixing	t r\ { n s f i k s i N
transform	t r\ { n s f O: m
transformable	t r\ { n s f O: m @ b @ l
transformation	t r\ { n s f @ m @i S @ n
transformations	t r\ { n s f @ m @i S @ n z
transformed	t r\ { n s f O: m d
transformer	t r\ { n s f O: m @ r\
transformers	t r\ { n s f O: m @ z
transforming	t r\ { n s f O: m i N
transforms	t r\ { n s f O: m z
transfuse	t r\ { n s f j u: z
transfused	t r\ { n s f j u: z d
transfuses	t r\ { n s f j u: z @ z
transfusing	t r\ { n s f j u: z i N
transfusion	t r\ { n s f j u: Z @ n
transfusions	t r\ { n s f j u: Z @ n z
transgress	t r\ { n z g r\ E s
transgressed	t r\ { n z g r\ E s t
transgresses	t r\ { n z g r\ E s @ s
transgressing	t r\ { n z g r\ E s i N
transgression	t r\ { n z g r\ E S @ n
transgressions	t r\ { n z g r\ E S @ n z
transgressor	t r\ { n z g r\ E s @ r\
transgressors	t r\ { n z g r\ E s @ z
transience	t r\ { n z i@ n s
transiency	t r\ { n z i@ n s i
transient	t r\ { n z i@ n t
transiently	t r\ { n z i@ n t l i
transients	t r\ { n z i@ n t s
transistor	t r\ { n z @ s t @ r\
transistorized	t r\ { n z @ s t @ r\ ai z d
transistors	t r\ { n z @ s t @ z
transit	t r\ { n s @ t
transition	t r\ { n z i S @ n
transitional	t r\ { n s i S @ n @ l
transitionally	t r\ { n s i S @ n @ l i
transitions	t r\ { n z i S @ n z
transitive	t r\ { n s @ t @ v
transitively	t r\ { n s @ t @ v l i
transitory	t r\ { n s i t r\ i
translatable	t r\ { n s l @i t @ b @ l
translate	t r\ { n z l @i t
translated	t r\ { n z l @i t @ d
translates	t r\ { n z l @i t s
translating	t r\ { n z l @i t i N
translation	t r\ { n s l @i S @ n
translations	t r\ { n s l @i S @ n z
translator	t r\ { n z l @i t @ r\
translators	t r\ { n z l @i t @ z
transliterate	t r\ { n z l @ t @ r\ @i t
transliterated	t r\ { n z l @ t @ r\ @i t @ d
transliterates	t r\ { n z l @ t @ r\ @i t s
transliterating	t r\ { n z l @ t @ r\ @i t i N
transliteration	t r\ { n z l @ t @ r\ @i S @ n
transliterations	t r\ { n z l @ t @ r\ @i S @ n z
translucence	t r\ { n z l u: s @ n s
translucency	t r\ { n z l u: s @ n s i
translucent	t r\ { n z l u: s @ n t
transmigration	t r\ { n z m ai g r\ @i S @ n
transmission	t r\ { n z m i S @ n
transmissions	t r\ { n z m i S @ n z
transmit	t r\ { n z m @ t
transmits	t r\ { n z m @ t s
transmitted	t r\ { n z m @ t @ d
transmitter	t r\ { n z m @ t @ r\
transmitters	t r\ { n z m @ t @ z
transmitting	t r\ { n z m i t i N
transmogrification	t r\ { n z m Q g r\ i f i k @i S @ n
transmogrifications	t r\ { n z m Q g r\ i f i k @i S @ n z
transmogrified	t r\ { n z m Q g r\ @ f ai d
transmogrifies	t r\ { n z m Q g r\ @ f ai z
transmogrify	t r\ { n z m Q g r\ @ f ai
transmogrifying	t r\ { n z m Q g r\ @ f ai i N
transmutable	t r\ { n z m j u: t @ b @ l
transmutation	t r\ { n z m j u: t @i S @ n
transmutations	t r\ { n z m j u: t @i S @ n z
transmute	t r\ { n z m j u: t
transmuted	t r\ { n z m j u: t @ d
transmutes	t r\ { n z m j u: t s
transmuting	t r\ { n z m j u: t i N
transoceanic	t r\ { n z @u S i { n i k
transom	t r\ { n s @ m
transoms	t r\ { n s @ m z
transparence	t r\ { n s p { r\ @ n s
transparencies	t r\ { n s p { r\ @ n s i s
transparency	t r\ { n s p { r\ @ n s i
transparent	t r\ { n s p { r\ @ n t
transparently	t r\ { n s p { r\ @ n t l i
transpiration	t r\ { n s p @ r\ @i S @ n
transpire	t r\ { n s p ai @ r\
transpired	t r\ { n s p ai @ d
transpires	t r\ { n s p ai @ z
transpiring	t r\ { n s p ai @ r\ i N
transplant	t r\ { n s p l A: n t
transplantation	t r\ { n s p l A: n t @i S @ n
transplantations	t r\ { n s p l A: n t @i S @ n z
transplanted	t r\ { n s p l A: n t @ d
transplanting	t r\ { n s p l A: n t i N
transplants	t r\ { n s p l A: n t s
transpolar	t r\ { n z p @u l @ r\
transport	t r\ { n s p O: t
transportable	t r\ { n s p O: t @ b @ l
transportation	t r\ { n s p O: t @i S @ n
transported	t r\ { n s p O: t @ d
transporter	t r\ { n s p O: t @ r\
transporters	t r\ { n s p O: t @ z
transporting	t r\ { n s p O: t i N
transports	t r\ { n s p O: t s
transpose	t r\ { n s p @u z
transposed	t r\ { n s p @u z d
transposes	t r\ { n s p @u z @ z
transposing	t r\ { n s p @u z i N
transposition	t r\ { n s p @ z i S @ n
transpositions	t r\ { n s p @ z i S @ n z
transsexual	t r\ { n z s E k S u@ l
transsexuals	t r\ { n z s E k S u@ l z
transship	t r\ { n S @ p
transshipment	t r\ { n S @ p m @ n t
transshipments	t r\ { n S @ p m @ n t s
transshipped	t r\ { n S @ p t
transshipping	t r\ { n S i p i N
transships	t r\ { n S @ p s
transubstantiation	t r\ { n s @ b s t { n S i @i S @ n
transverse	t r\ { n z v 3: s
transversely	t r\ { n z v 3: s l i
transvestism	t r\ { n z v E s t @ z @ m
transvestite	t r\ { n z v E s t ai t
transvestites	t r\ { n z v E s t ai t s
trap	t r\ { p
trapeze	t r\ @ p i: z
trapezes	t r\ @ p i: z @ z
trapezium	t r\ @ p i: z i@ m
trapeziums	t r\ @ p i: z i@ m z
trapezoid	t r\ { p i z Oi d
trapezoids	t r\ { p i z Oi d z
trapped	t r\ { p t
trapper	t r\ { p @ r\
trappers	t r\ { p @ z
trapping	t r\ { p i N
trappings	t r\ { p i N z
trappist	t r\ { p @ s t
trappists	t r\ { p @ s t s
traps	t r\ { p s
trash	t r\ { S
trashier	t r\ { S i@ r\
trashiest	t r\ { S i @ s t
trashy	t r\ { S i
trauma	t r\ O: m @
traumas	t r\ O: m @ z
traumatic	t r\ O: m { t i k
travail	t r\ { v @i l
travails	t r\ { v @i l z
travel	t r\ { v @ l
traveled	t r\ { v @ l d
travelled	t r\ { v @ l d
traveller	t r\ { v l @ r\
travellers	t r\ { v l @ z
travelling	t r\ { v @ l i N
travelogue	t r\ { v @ l Q g
travelogues	t r\ { v @ l Q g z
travels	t r\ { v @ l z
traverse	t r\ { v 3: s
traversed	t r\ { v 3: s t
traverses	t r\ { v 3: s @ s
traversing	t r\ { v 3: s i N
travestied	t r\ { v @ s t i d
travesties	t r\ { v @ s t i z
travesty	t r\ { v @ s t i
travestying	t r\ { v @ s t i i N
traviata	t r\ { v i: { t @
travis	t r\ { v @ s
trawl	t r\ O: l
trawled	t r\ O: l d
trawler	t r\ O: l @ r\
trawlers	t r\ O: l @ z
trawling	t r\ O: l i N
trawls	t r\ O: l z
tray	t r\ @i
trays	t r\ @i z
treacheries	t r\ E tS @ r\ i z
treacherous	t r\ E tS @ r\ @ s
treacherously	t r\ E tS @ r\ @ s l i
treachery	t r\ E tS @ r\ i
treacle	t r\ i: k @ l
treacly	t r\ i: k l i
tread	t r\ E d
treading	t r\ E d i N
treadle	t r\ E d @ l
treadled	t r\ E d @ l d
treadles	t r\ E d @ l z
treadling	t r\ E d l i N
treadmill	t r\ E d m @ l
treadmills	t r\ E d m @ l z
treads	t r\ E d z
treason	t r\ i: z @ n
treasonable	t r\ i: z @ n @ b @ l
treasonably	t r\ i: z @ n @ b l i
treasonous	t r\ i: z @ n @ s
treasure	t r\ E Z @ r\
treasured	t r\ E Z @ d
treasurer	t r\ E Z @ r\ @ r\
treasurers	t r\ E Z @ r\ @ z
treasures	t r\ E Z @ z
treasuries	t r\ E Z @ r\ i z
treasuring	t r\ E Z @ r\ i N
treasury	t r\ E Z @ r\ i
treat	t r\ i: t
treated	t r\ i: t @ d
treaties	t r\ i: t i z
treating	t r\ i: t i N
treatise	t r\ i: t @ s
treatises	t r\ i: t @ s @ s
treatment	t r\ i: t m @ n t
treatments	t r\ i: t m @ n t s
treats	t r\ i: t s
treaty	t r\ i: t i
treble	t r\ E b @ l
trebled	t r\ E b @ l d
trebles	t r\ E b @ l z
trebling	t r\ E b l i N
tredegar	t r\ i d i: g @ r\
tree	t r\ i
treed	t r\ i: d
treeing	t r\ i: i N
treeless	t r\ i: l @ s
trees	t r\ i: z
trefoil	t r\ E f Oi l
trefoils	t r\ E f Oi l z
tregennis	t r\ i g E n @ s
trek	t r\ E k
trekked	t r\ E k t
trekking	t r\ E k i N
treks	t r\ E k s
trelawney	t r\ @ l O: n i
trelleborg	t r\ E l @ b 3: g
trellis	t r\ E l @ s
trellised	t r\ E l @ s t
trellises	t r\ E l @ s @ s
trellising	t r\ E l i s i N
tremble	t r\ E m b @ l
trembled	t r\ E m b @ l d
trembles	t r\ E m b @ l z
trembling	t r\ E m b l i N
tremendous	t r\ i m E n d @ s
tremendously	t r\ i m E n d @ s l i
tremolo	t r\ E m @ l @u
tremolos	t r\ E m @ l @u z
tremor	t r\ E m @ r\
tremors	t r\ E m @ z
tremulous	t r\ E m j U l @ s
tremulously	t r\ E m j U l @ s l i
trench	t r\ E n tS
trenchancy	t r\ E n tS @ n s i
trenchant	t r\ E n tS @ n t
trenchantly	t r\ E n tS @ n t l i
trenched	t r\ E n tS t
trencher	t r\ E n tS @ r\
trencherman	t r\ E n tS @ m @ n
trenchermen	t r\ E n tS @ m @ n
trenchers	t r\ E n tS @ z
trenches	t r\ E n tS @ z
trenching	t r\ E n tS i N
trend	t r\ E n d
trended	t r\ E n d @ d
trendier	t r\ E n d i@ r\
trendiest	t r\ E n d i @ s t
trending	t r\ E n d i N
trends	t r\ E n d z
trendy	t r\ E n d i
trepan	t r\ i p { n
trepanned	t r\ i p { n d
trepanning	t r\ i p { n i N
trepans	t r\ i p { n z
trephine	t r\ i f i: n
trephined	t r\ i f i: n d
trephines	t r\ i f i: n z
trephining	t r\ i f i: n i N
trepidation	t r\ E p @ d @i S @ n
tresniowski	t r\ E s n i au s k i
trespass	t r\ E s p @ s
trespassed	t r\ E s p @ s t
trespasser	t r\ E s p @ s @ r\
trespassers	t r\ E s p @ s @ z
trespasses	t r\ E s p @ s @ s
trespassing	t r\ E s p @ s i N
tress	t r\ E s
tresses	t r\ E s @ s
trestle	t r\ E s @ l
trestles	t r\ E s @ l z
trevelyan	t r\ @ v E l @ n
trevor	t r\ E v @ r\
trews	t r\ u: z
tri	t r\ ai
triad	t r\ ai { d
triads	t r\ ai { d z
triage	t r\ i: { Z
trial	t r\ ai @ l
trials	t r\ ai @ l z
triangle	t r\ ai { N g @ l
triangles	t r\ ai { N g @ l z
triangular	t r\ ai { N g j U l @ r\
tribal	t r\ ai b @ l
tribalism	t r\ ai b @ l @ z @ m
tribe	t r\ ai b
tribes	t r\ ai b z
tribesman	t r\ ai b z m @ n
tribesmen	t r\ ai b z m @ n
tribulation	t r\ i b j U l @i S @ n
tribulations	t r\ i b j U l @i S @ n z
tribunal	t r\ ai b j u: n @ l
tribunals	t r\ ai b j u: n @ l z
tribune	t r\ i b j u: n
tribunes	t r\ i b j u: n z
tributaries	t r\ i b j U t @ r\ i z
tributary	t r\ i b j U t @ r\ i
tribute	t r\ i b j u: t
tributes	t r\ i b j u: t s
trice	t r\ ai s
triced	t r\ ai s t
trices	t r\ ai s @ s
trichinopoly	t r\ ai k i n Q p @ l i
tricing	t r\ ai s i N
trick	t r\ i k
tricked	t r\ i k t
trickery	t r\ i k @ r\ i
trickier	t r\ i k i@ r\
trickiest	t r\ i k i @ s t
trickiness	t r\ i k i n @ s
tricking	t r\ i k i N
trickle	t r\ i k @ l
trickled	t r\ i k @ l d
trickles	t r\ i k @ l z
trickling	t r\ i k l i N
tricks	t r\ i k s
trickster	t r\ i k s t @ r\
tricksters	t r\ i k s t @ z
tricksy	t r\ i k s i
tricky	t r\ i k i
tricolour	t r\ i k @ l @ r\
tricolours	t r\ i k @ l @ z
tricycle	t r\ ai s i k @ l
tricycles	t r\ ai s i k @ l z
trident	t r\ ai d @ n t
tridents	t r\ ai d @ n t s
tried	t r\ ai d
triennial	t r\ ai E n i@ l
triennials	t r\ ai E n i@ l z
trier	t r\ ai @ r\
triers	t r\ ai @ z
tries	t r\ ai z
trieste	t r\ i E s t
trifle	t r\ ai f @ l
trifled	t r\ ai f @ l d
trifler	t r\ ai f l @ r\
triflers	t r\ ai f l @ z
trifles	t r\ ai f @ l z
trifling	t r\ ai f l i N
trigger	t r\ i g @ r\
triggered	t r\ i g @ d
triggering	t r\ i g @ r\ i N
triggers	t r\ i g @ z
trigonometry	t r\ i g @ n Q m @ t r\ i
trilateral	t r\ ai l { t @ r\ @ l
trilbies	t r\ @ l b i z
trilby	t r\ @ l b i
trill	t r\ @ l
trilled	t r\ @ l d
trilling	t r\ i l i N
trillion	t r\ i l i@ n
trillions	t r\ i l i@ n z
trillionth	t r\ i l i@ n T
trillionths	t r\ i l i@ n T s
trills	t r\ @ l z
trilogies	t r\ @ l @ d0Z i z
trilogy	t r\ @ l @ d0Z i
trim	t r\ @ m
trimaran	t r\ ai m @ r\ { n
trimarans	t r\ ai m @ r\ { n z
trimly	t r\ @ m l i
trimmed	t r\ @ m d
trimmer	t r\ @ m @ r\
trimmers	t r\ @ m @ z
trimmest	t r\ @ m @ s t
trimming	t r\ i m i N
trimmings	t r\ i m i N z
trims	t r\ @ m z
tring	t r\ i N
trinidad	t r\ i n i d { d
trinidadian	t r\ i n i d { d i@ n
trinidadians	t r\ i n i d { d i@ n z
trinities	t r\ i n i t i z
trinitrotoluene	t r\ ai n ai t r\ @u t Q l j U i: n
trinity	t r\ i n i t i
trinket	t r\ i N k @ t
trinkets	t r\ i N k @ t s
trinova	t r\ i n @u v @
trio	t r\ i: @u
trios	t r\ i: @u z
trip	t r\ @ p
tripartite	t r\ ai p A: t ai t
tripe	t r\ ai p
triple	t r\ @ p @ l
tripled	t r\ @ p @ l d
triples	t r\ @ p @ l z
triplet	t r\ @ p l @ t
triplets	t r\ @ p l @ t s
triplex	t r\ i p l E k s
triplicate	t r\ i p l i k @ t
triplicated	t r\ i p l i k @i t @ d
triplicates	t r\ i p l i k @ t s
triplicating	t r\ i p l i k @i t i N
tripling	t r\ i p l i N
tripod	t r\ ai p Q d
tripods	t r\ ai p Q d z
tripos	t r\ ai p Q s
triposes	t r\ ai p Q s @ s
tripped	t r\ @ p t
tripper	t r\ @ p @ r\
trippers	t r\ @ p @ z
tripping	t r\ i p i N
trippingly	t r\ i p i N l i
trips	t r\ @ p s
triptych	t r\ @ p t i k
triptychs	t r\ @ p t i k s
trireme	t r\ ai r\ i: m
triremes	t r\ ai r\ i: m z
trisect	t r\ ai s E k t
trisected	t r\ ai s E k t @ d
trisecting	t r\ ai s E k t i N
trisects	t r\ ai s E k t s
trite	t r\ ai t
tritely	t r\ ai t l i
triteness	t r\ ai t n @ s
tritium	t r\ i t i a m
triumph	t r\ ai @ m f
triumphal	t r\ ai a m f @ l
triumphant	t r\ ai a m f @ n t
triumphantly	t r\ ai a m f @ n t l i
triumphed	t r\ ai @ m f t
triumphing	t r\ ai @ m f i N
triumphs	t r\ ai @ m f s
triumvir	t r\ ai a m v @ r\
triumvirate	t r\ ai a m v @ r\ @ t
triumvirates	t r\ ai a m v @ r\ @ t s
triumvirs	t r\ ai a m v @ z
triune	t r\ ai j u: n
trivet	t r\ @ v @ t
trivets	t r\ @ v @ t s
trivia	t r\ i v i@
trivial	t r\ i v i@ l
trivialities	t r\ i v i { l i t i z
triviality	t r\ i v i { l i t i
trivialize	t r\ i v i@ l ai z
trivialized	t r\ i v i@ l ai z d
trivializes	t r\ i v i@ l ai z @ z
trivializing	t r\ i v i@ l ai z i N
trivially	t r\ i v i@ l i
trochaic	t r\ @u k @i i k
trochee	t r\ @u k i
trochees	t r\ @u k i: z
trod	t r\ Q d
trodden	t r\ Q d @ n
troglodyte	t r\ Q g l @ d ai t
troglodytes	t r\ Q g l @ d ai t s
troika	t r\ Oi k @
troikas	t r\ Oi k @ z
trojan	t r\ @u d0Z @ n
trojans	t r\ @u d0Z @ n z
troll	t r\ @u l
trolled	t r\ @u l d
trolley	t r\ Q l i
trolleys	t r\ Q l i z
trolling	t r\ @u l i N
trollop	t r\ Q l @ p
trollops	t r\ Q l @ p s
trolls	t r\ @u l z
trombone	t r\ Q m b @u n
trombones	t r\ Q m b @u n z
trombonist	t r\ Q m b @u n @ s t
trombonists	t r\ Q m b @u n @ s t s
troon	t r\ u: n
troop	t r\ u: p
trooped	t r\ u: p t
trooper	t r\ u: p @ r\
troopers	t r\ u: p @ z
trooping	t r\ u: p i N
troops	t r\ u: p s
troopship	t r\ u: p S @ p
troopships	t r\ u: p S @ p s
trope	t r\ @u p
tropes	t r\ @u p s
trophies	t r\ @u f i z
trophy	t r\ @u f i
tropic	t r\ Q p i k
tropical	t r\ Q p i k @ l
tropically	t r\ Q p i k l i
tropics	t r\ Q p i k s
trot	t r\ Q t
troth	t r\ @u T
trots	t r\ Q t s
trotted	t r\ Q t @ d
trotter	t r\ Q t @ r\
trotters	t r\ Q t @ z
trotting	t r\ Q t i N
troubadour	t r\ u: b @ d O: r\
troubadours	t r\ u: b @ d O: z
trouble	t r\ a b @ l
troubled	t r\ a b @ l d
troublemaker	t r\ a b @ l m @i k @ r\
troublemakers	t r\ a b @ l m @i k @ z
troubles	t r\ a b @ l z
troubleshooter	t r\ a b @ l S u: t @ r\
troubleshooters	t r\ a b @ l S u: t @ z
troublesome	t r\ a b @ l s @ m
troubling	t r\ a b l i N
troublous	t r\ a b l @ s
trough	t r\ Q f
troughs	t r\ Q f s
trounce	t r\ au n s
trounced	t r\ au n s t
trounces	t r\ au n s @ s
trouncing	t r\ au n s i N
trouncings	t r\ au n s i N z
troupe	t r\ u: p
trouper	t r\ u: p @ r\
troupers	t r\ u: p @ z
troupes	t r\ u: p s
trouser	t r\ au z @ r\
trousers	t r\ au z @ z
trousseau	t r\ u: s @u
trousseaus	t r\ u: s @u z
trousseaux	t r\ u: s @u z
trout	t r\ au t
trove	t r\ @u v
troves	t r\ @u v z
trowbridge	t r\ @u b r\ i d0Z
trowel	t r\ au @ l
trowels	t r\ au @ l z
troy	t r\ Oi
truancies	t r\ u: @ n s i s
truancy	t r\ u: @ n s i
truant	t r\ u: @ n t
truants	t r\ u: @ n t s
truce	t r\ u: s
truces	t r\ u: s @ s
truck	t r\ a k
trucking	t r\ a k i N
truckle	t r\ a k @ l
truckled	t r\ a k @ l d
truckles	t r\ a k @ l z
truckling	t r\ a k l i N
trucks	t r\ a k s
truculence	t r\ a k j U l @ n s
truculency	t r\ a k j U l @ n s i
truculent	t r\ a k j U l @ n t
truculently	t r\ a k j U l @ n t l i
trudeau	t r\ u: d @u
trudge	t r\ a d0Z
trudged	t r\ a d0Z d
trudges	t r\ a d0Z @ z
trudging	t r\ a d0Z i N
true	t r\ u:
trued	t r\ u: d
truelove	t r\ u: l a v
trueloves	t r\ u: l a v z
truer	t r\ u: @ r\
trues	t r\ u: z
truest	t r\ u: @ s t
truffle	t r\ a f @ l
truffles	t r\ a f @ l z
truing	t r\ u: i N
truism	t r\ u: @ z @ m
truisms	t r\ u: @ z @ m z
truly	t r\ u: l i
trump	t r\ a m p
trumped	t r\ a m p t
trumpery	t r\ a m p @ r\ i
trumpet	t r\ a m p @ t
trumpeted	t r\ a m p @ t @ d
trumpeter	t r\ a m p @ t @ r\
trumpeters	t r\ a m p @ t @ z
trumpeting	t r\ a m p i t i N
trumpets	t r\ a m p @ t s
trumping	t r\ a m p i N
trumps	t r\ a m p s
truncate	t r\ a N k @i t
truncated	t r\ a N k @i t @ d
truncates	t r\ a N k @i t s
truncating	t r\ a N k @i t i N
truncheon	t r\ a n tS @ n
truncheons	t r\ a n tS @ n z
trundle	t r\ a n d @ l
trundled	t r\ a n d @ l d
trundles	t r\ a n d @ l z
trundling	t r\ a n d l i N
trunk	t r\ a N k
trunking	t r\ a N k i N
trunks	t r\ a N k s
truro	t r\ u@ r\ @u
truss	t r\ a s
trussed	t r\ a s t
trusses	t r\ a s @ s
trussing	t r\ a s i N
trust	t r\ a s t
trustcorp	t r\ a s t k O: p
trusted	t r\ a s t @ d
trustee	t r\ a s t i
trustees	t r\ a s t i: z
trusteeship	t r\ a s t i: S @ p
trusteeships	t r\ a s t i: S @ p s
trustful	t r\ a s t f @ l
trustfully	t r\ a s t f @ l i
trustier	t r\ a s t i@ r\
trustiest	t r\ a s t i @ s t
trusting	t r\ a s t i N
trustingly	t r\ a s t i N l i
trusts	t r\ a s t s
trustworthiness	t r\ a s t w 3: D @ n @ s
trustworthy	t r\ a s t w 3: D i
trusty	t r\ a s t i
truth	t r\ u: T
truthful	t r\ u: T f @ l
truthfully	t r\ u: T f @ l i
truthfulness	t r\ u: T f @ l n @ s
truths	t r\ u: T s
try	t r\ ai
trying	t r\ ai i N
