can't	k> a n t>
pudungwana	p> u d u N w a n a
puisanong	p> u i s a n O N
puisano	p> u i s a n O
puisong	p> u i s O N
puiso	p> u i s O
pumpunyega	p> u m p> u J E x a
puong	p> u O N
puontsi	p> u O n ts> i
puothuto	p> u O th u t> O
pu	p> u
purapura	p> u r a p> u r a
puseletso	p> u s E l E ts> O
pusetso	p> u s E ts> O
pusomorafe	p> u s O m O r a f E
pusong	p> u s O N
pusoselegaeng	p> u s O s E l E x a E N
pusoselegae	p> u s O s E l E x a E
putlaganyang	p> u tl> a x a J a N
putla	p> u tl> a
putswa	p> u ts> w a
rabana	r a b a n a
raba	r a b a
rabara	r a b a r a
radiong	r a d i O N
raditoro	r a d i t> O r O
raelesega	r a E l E S E x a
raelwa	r a E l w a
raemang	r a E m a N
rafa	r a f a
rafiwa	r a f i w a
raga	r a x a
ragile	r a x i l E
ragoga	r a x O x a
ragosa	r a x O s a
rakagiso	r a k> a x i s O
rakalala	r a k> a l a l a
rakanang	r a k> a n a N
rakana	r a k> a n a
rakanela	r a k> a n E l a
rakaneng	r a k> a n E N
rakane	r a k> a n E
rakgadiagwe	r a kx a d i a x w E
rakgadi	r a kx a d i
rakgwebo	r a kx w E b O
rakonteraka	r a k> O n t> E r a k> a
ralalang	r a l a l a N
ralala	r a l a l a
rala	r a l a
ralatsa	r a l a ts> a
ralebaka	r a l E b a k> a
ralebentlele	r a l E b E n tl> E l E
ralwa	r a l w a
ramarumo	r a m a r u m O
ramasedi	r a m a s E d i
ramatlhale	r a m a tlh a l E
ramatlotlo	r a m a tl> O tl> O
ramolangwana	r a m O l a N w a n a
ramolao	r a m O l a O
rangwaneagwe	r a N w a n E a x w E
ranola	r a n O l a
ranolela	r a n O l E l a
ranolelwa	r a n O l E l w a
ranolwang	r a n O l w a N
ranolwa	r a n O l w a
ranotsweng	r a n O ts> w E N
rantang	r a n t> a N
rantao	r a n t> a O
ranta	r a n t> a
rapaletseng	r a p> a l E ts> E N
rapaletse	r a p> a l E ts> E
rapama	r a p> a m a
rapame	r a p> a m E
rapela	r a p> E l a
rapelela	r a p> E l E l a
rapeleng	r a p> E l E N
rapeletswe	r a p> E l E ts> w E
rapitso	r a p> i ts> O
raporoto	r a p> O r O t> O
ra	r a
raraana	r a r a n a
raraanela	r a r a n E l a
raraaneng	r a r a n E N
rarabologang	r a r a b O l O x a N
rarabologa	r a r a b O l O x a
rarabologelwa	r a r a b O l O x E l w a
rarabololang	r a r a b O l O l a N
rarabolola	r a r a b O l O l a
rarabololeng	r a r a b O l O l E N
rarabolole	r a r a b O l O l E
rarabololwang	r a r a b O l O l w a N
rarabololwa	r a r a b O l O l w a
rarabololweng	r a r a b O l O l w E N
rarabololwe	r a r a b O l O l w E
rarabolotse	r a r a b O l O ts> E
rarabolotsweng	r a r a b O l O ts> w E N
rarabolotswe	r a r a b O l O ts> w E
rara	r a r a
rarolola	r a r O l O l a
rarololwang	r a r O l O l w a N
raro	r a r O
raseboa	r a s E b O a
rasiting	r a s i t> i N
rasiti	r a s i t> i
ratanang	r a t> a n a N
ratana	r a t> a n a
ratane	r a t> a n E
ratang	r a t> a N
rata	r a t> a
rategang	r a t> E x a N
ratega	r a t> E x a
rategeng	r a t> E x E N
ratela	r a t> E l a
rateng	r a t> E N
rathana	r a th a n a
ratha	r a th a
ratharathang	r a th a r a th a N
ratharatha	r a th a r a th a
ratileng	r a t> i l E N
ratile	r a t> i l E
ratisa	r a t> i s a
ratiwang	r a t> i w a N
ratiwa	r a t> i w a
ratoropo	r a t> O r O p> O
ratsale	r a ts> a l E
ratshikana	r a tsh i k> a n a
ratswale	r a ts> w a l E
ratwang	r a t> w a N
ratwa	r a t> w a
ratwe	r a t> w E
rayang	r a j a N
raya	r a j a
rebolang	r E b O l a N
rebola	r E b O l a
rebolelang	r E b O l E l a N
rebolela	r E b O l E l a
rebolele	r E b O l E l E
rebolelwang	r E b O l E l w a N
rebolelwa	r E b O l E l w a
reboleng	r E b O l E N
rebole	r E b O l E
reboletse	r E b O l E ts> E
reboletsweng	r E b O l E ts> w E N
reboletswe	r E b O l E ts> w E
rebolwang	r E b O l w a N
rebolwa	r E b O l w a
rebolweng	r E b O l w E N
rebolwe	r E b O l w E
rebotseng	r E b O ts> E N
rebotse	r E b O ts> E
rebotsweng	r E b O ts> w E N
rebotswe	r E b O ts> w E
reeditseng	r E E d i ts> E N
reeditse	r E E d i ts> E
reeditsweng	r E E d i ts> w E N
reeditswe	r E E d i ts> w E
reediwang	r E E d i w a N
reediwa	r E E d i w a
reediwe	r E E d i w E
reeletswe	r E E l E ts> w E
ree	r E E
reetsana	r E E ts> a n a
reetsang	r E E ts> a N
reetsa	r E E ts> a
reetseng	r E E ts> E N
reetse	r E E ts> E
refosanang	r E f O s a n a N
refosana	r E f O s a n a
refosanela	r E f O s a n E l a
refosanya	r E f O s a J a
refosa	r E f O s a
reile	r E i l E
reilweng	r E i l w E N
reise	r E i s E
rejisetara	r E d0Z i s E t> a r a
rejisetareng	r E d0Z i s E t> a r E N
rekang	r E k> a N
reka	r E k> a
rekegang	r E k> E x a N
rekegelang	r E k> E x E l a N
rekegela	r E k> E x E l a
rekegele	r E k> E x E l E
rekelang	r E k> E l a N
rekela	r E k> E l a
rekelwa	r E k> E l w a
rekeng	r E k> E N
reke	r E k> E
reketlang	r E k> E tl> a N
reketlisa	r E k> E tl> i s a
reketse	r E k> E ts> E
rekileng	r E k> i l E N
rekile	r E k> i l E
rekilweng	r E k> i l w E N
rekilwe	r E k> i l w E
rekisang	r E k> i s a N
rekisa	r E k> i s a
rekiseditse	r E k> i s E d i ts> E
rekiseditsweng	r E k> i s E d i ts> w E N
rekiseditswe	r E k> i s E d i ts> w E
rekisediwang	r E k> i s E d i w a N
rekisediwa	r E k> i s E d i w a
rekiseng	r E k> i s E N
rekise	r E k> i s E
rekisetsang	r E k> i s E ts> a N
rekisetsa	r E k> i s E ts> a
rekisetse	r E k> i s E ts> E
rekisetswa	r E k> i s E ts> w a
rekisitse	r E k> i s i ts> E
rekisitsweng	r E k> i s i ts> w E N
rekisitswe	r E k> i s i ts> w E
rekisiwang	r E k> i s i w a N
rekisiwa	r E k> i s i w a
rekisiwe	r E k> i s i w E
rekiwang	r E k> i w a N
rekiwa	r E k> i w a
rekota	r E k> O t> a
rekoteng	r E k> O t> E N
rekote	r E k> O t> E
rekotiwa	r E k> O t> i w a
rekotong	r E k> O t> O N
rekoto	r E k> O t> O
rekwang	r E k> w a N
rekwa	r E k> w a
rekwe	r E k> w E
reledisang	r E l E d i s a N
relelang	r E l E l a N
relela	r E l E l a
relelela	r E l E l E l a
relele	r E l E l E
reletswe	r E l E ts> w E
rema	r E m a
remela	r E m E l a
reme	r E m E
renang	r E n a N
rena	r E n a
reng	r E N
renke	r E n k> E
rente	r E n t> E
repaboliking	r E p> a b O l i k> i N
repaboliki	r E p> a b O l i k> i
repa	r E p> a
repela	r E p> E l a
repetlaneng	r E p> E tl> a n E N
rephaboleki	r E ph a b O l E k> i
repileng	r E p> i l E N
repile	r E p> i l E
rerang	r E r a N
rera	r E r a
rerelwa	r E r E l w a
rerile	r E r i l E
rerilwe	r E r i l w E
rerisana	r E r i s a n a
rerisa	r E r i s a
rerisiwa	r E r i s i w a
rerwa	r E r w a
resefe	r E s E f E
resepi	r E s E p> i
resetšhuranta	r E s E tSh u r a n t> a
resiti	r E s i t> i
reta	r E t> a
retela	r E t> E l a
retelelwang	r E t> E l E l w a N
retelelwa	r E t> E l E l w a
retelelweng	r E t> E l E l w E N
retelelwe	r E t> E l E l w E
reteletsweng	r E t> E l E ts> w E N
reteletswe	r E t> E l E ts> w E
rete	r E t> E
retetse	r E t> E ts> E
rethefala	r E th E f a l a
retologa	r E t> O l O x a
retolola	r E t> O l O l a
retwa	r E t> w a
rewa	r E w a
reye	r E j E
rialo	r i a l O
ribega	r i b E x a
ribegiwa	r i b E x i w a
ribola	r i b O l a
ribolola	r i b O l O l a
ribololeng	r i b O l O l E N
ribololwa	r i b O l O l w a
ribolotseng	r i b O l O ts> E N
ribolotse	r i b O l O ts> E
ribolotswe	r i b O l O ts> w E
ribone	r i b O n E
rileng	r i l E N
ripitlang	r i p> i tl> a N
ripitla	r i p> i tl> a
ripotong	r i p> O t> O N
ripoto	r i p> O t> O
ritela	r i t> E l a
ritibatsa	r i t> i b a ts> a
ritibetseng	r i t> i b E ts> E N
ritibetse	r i t> i b E ts> E
robaditse	r O b a d i ts> E
robaditswe	r O b a d i ts> w E
robadiwang	r O b a d i w a N
robadiwa	r O b a d i w a
robalana	r O b a l a n a
robalang	r O b a l a N
robala	r O b a l a
robaleng	r O b a l E N
robale	r O b a l E
robaletseng	r O b a l E ts> E N
robaletse	r O b a l E ts> E
robang	r O b a N
roba	r O b a
robatsa	r O b a ts> a
robedi	r O b E d i
robega	r O b E x a
robegetseng	r O b E x E ts> E N
robegileng	r O b E x i l E N
robegile	r O b E x i l E
robeng	r O b E N
robetseng	r O b E ts> E N
robetse	r O b E ts> E
robetswe	r O b E ts> w E
robileng	r O b i l E N
robile	r O b i l E
robilweng	r O b i l w E N
robilwe	r O b i l w E
robiwang	r O b i w a N
robiwa	r O b i w a
robiwe	r O b i w E
robong	r O b O N
robongwe	r O b O N w E
robotong	r O b O t> O N
roboto	r O b O t> O
rogana	r O x a n a
rogilwe	r O x i l w E
rogwa	r O x w a
rojwa	r O d0Z w a
roka	r O k> a
rokelelang	r O k> E l E l a N
rokile	r O k> i l E
rokoditse	r O k> O d i ts> E
rolara	r O l a r a
rola	r O l a
rolelang	r O l E l a N
rolela	r O l E l a
rolelwa	r O l E l w a
roletseng	r O l E ts> E N
roletsweng	r O l E ts> w E N
roletswe	r O l E ts> w E
rolo	r O l O
rolwe	r O l w E
roma	r O m a
romelang	r O m E l a N
romela	r O m E l a
romelela	r O m E l E l a
romelele	r O m E l E l E
romelelwa	r O m E l E l w a
romele	r O m E l E
romeletsa	r O m E l E ts> a
romeletsweng	r O m E l E ts> w E N
romeletswe	r O m E l E ts> w E
romelwang	r O m E l w a N
romelwa	r O m E l w a
romelweng	r O m E l w E N
romelwe	r O m E l w E
rometseng	r O m E ts> E N
rometse	r O m E ts> E
rometsweng	r O m E ts> w E N
rometswe	r O m E ts> w E
romile	r O m i l E
romilweng	r O m i l w E N
romilwe	r O m i l w E
rona	r O n a
rone	r O n E
rongwa	r O N w a
rontshang	r O n tsh a N
rontsha	r O n tsh a
rorang	r O r a N
rora	r O r a
rorela	r O r E l a
rorisa	r O r i s a
roromang	r O r O m a N
roroma	r O r O m a
roromela	r O r O m E l a
rorome	r O r O m E
rorwa	r O r w a
rosi	r O s i
rotha	r O th a
rothela	r O th E l a
rothe	r O th E
rothile	r O th i l E
rothisa	r O th i s a
rotlhe	r O tlh E
rotloeditse	r O tl> O E d i ts> E
rotloeditsweng	r O tl> O E d i ts> w E N
rotloeditswe	r O tl> O E d i ts> w E
rotloediwang	r O tl> O E d i w a N
rotloediwa	r O tl> O E d i w a
rotloetsang	r O tl> O E ts> a N
rotloetsa	r O tl> O E ts> a
rotloetsegang	r O tl> O E ts> E x a N
rotloetsega	r O tl> O E ts> E x a
rotloetseng	r O tl> O E ts> E N
rotloetse	r O tl> O E ts> E
rotloetswa	r O tl> O E ts> w a
rotogang	r O t> O x a N
rotogile	r O t> O x i l E
rotola	r O t> O l a
rotoletse	r O t> O l E ts> E
roto	r O t> O
rototse	r O t> O ts> E
rotseng	r O ts> E N
rotse	r O ts> E
rraabonamogolo	r r a b O n a m O x O l O
rraabona	r r a b O n a
rraabone	r r a b O n E
rraabo	r r a b O
rraago	r r a x O
rraagwemogolo	r r a x w E m O x O l O
rraagwe	r r a x w E
rraalona	r r a l O n a
rraarona	r r a r O n a
rraetsho	r r a E tsh O
rralapa	r r a l a p> a
rra	r r a
rre	r r E
ruang	r u a N
ruanyang	r u a J a N
ruanya	r u a J a
rua	r u a
rudisa	r u d i s a
rudisiwa	r u d i s i w a
ruilweng	r u i l w E N
ruilwe	r u i l w E
rukhutlhe	r u kh u tlh E
rukutlha	r u k> u tlh a
rulaganang	r u l a x a n a N
rulagana	r u l a x a n a
rulaganeng	r u l a x a n E N
rulagane	r u l a x a n E
rulagangwang	r u l a x a N w a N
rulagangwa	r u l a x a N w a
rulaganngwang	r u l a x a n N w a N
rulaganngwa	r u l a x a n N w a
rulaganngwe	r u l a x a n N w E
rulagantseng	r u l a x a n ts> E N
rulagantse	r u l a x a n ts> E
rulagantsweng	r u l a x a n ts> w E N
rulagantswe	r u l a x a n ts> w E
rulaganyang	r u l a x a J a N
rulaganya	r u l a x a J a
rulaganyeditsweng	r u l a x a J E d i ts> w E N
rulaganyeditswe	r u l a x a J E d i ts> w E
rulaganyediwa	r u l a x a J E d i w a
rulaganyega	r u l a x a J E x a
rulaganyeng	r u l a x a J E N
rulaganye	r u l a x a J E
rulaganyetsang	r u l a x a J E ts> a N
rulaganyetsa	r u l a x a J E ts> a
rulela	r u l E l a
rumisanang	r u m i s a n a N
rumolega	r u m O l E x a
rumolwa	r u m O l w a
runa	r u n a
runiwa	r u n i w a
runtseng	r u n ts> E N
runwang	r u n w a N
runyang	r u J a N
runya	r u J a
rupileng	r u p> i l E N
rurifaditsweng	r u r i f a d i ts> w E N
rurifatsa	r u r i f a ts> a
ruri	r u r i
ruruga	r u r u x a
rusa	r u s a
rutane	r u t> a n E
rutang	r u t> a N
ruta	r u t> a
rutega	r u t> E x a
rutege	r u t> E x E
rutegileng	r u t> E x i l E N
rutegile	r u t> E x i l E
rutela	r u t> E l a
ruteng	r u t> E N
rute	r u t> E
rutile	r u t> i l E
rutilweng	r u t> i l w E N
rutilwe	r u t> i l w E
rutiwang	r u t> i w a N
rutiwa	r u t> i w a
rutiwe	r u t> i w E
rutla	r u tl> a
rutlega	r u tl> E x a
rutwang	r u t> w a N
rutwa	r u t> w a
rutweng	r u t> w E N
rutwe	r u t> w E
rwadisang	r w a d i s a N
rwadiwang	r w a d i w a N
rwalang	r w a l a N
rwala	r w a l a
rwalelang	r w a l E l a N
rwalela	r w a l E l a
rwaleng	r w a l E N
rwale	r w a l E
rwaletse	r w a l E ts> E
rwalwang	r w a l w a N
rwalwa	r w a l w a
rwalwe	r w a l w E
rweleng	r w E l E N
rwele	r w E l E
rwelerwele	r w E l E r w E l E
rwelwe	r w E l w E
rwesang	r w E s a N
rwesa	r w E s a
rwesitse	r w E s i ts> E
rwesitsweng	r w E s i ts> w E N
rwesitswe	r w E s i ts> w E
rwesiwang	r w E s i w a N
rwesiwa	r w E s i w a
rwesiwe	r w E s i w E
rweswa	r w E s w a
saa	s a
sadisa	s a d i s a
saekholoji	s a E kh O l O d0Z i
saenang	s a E n a N
saena	s a E n a
saenela	s a E n E l a
saenelwang	s a E n E l w a N
saenelwa	s a E n E l w a
saene	s a E n E
saenetseng	s a E n E ts> E N
saenilweng	s a E n i l w E N
saenilwe	s a E n i l w E
saenisa	s a E n i s a
saeniwa	s a E n i w a
saenneng	s a E n n E N
saenne	s a E n n E
saennweng	s a E n n w E N
saennwe	s a E n n w E
saenseng	s a E n s E N
saense	s a E n s E
saentshe	s a E n tsh E
saenwang	s a E n w a N
saenwa	s a E n w a
saenweng	s a E n w E N
saese	s a E s E
safa	s a f a
sailang	s a i l a N
sajene	s a d0Z E n E
saji	s a d0Z i
šakgala	S a kx a l a
salang	s a l a N
sala	s a l a
salate	s a l a t> E
salela	s a l E l a
salele	s a l E l E
saleng	s a l E N
saletseng	s a l E ts> E N
saletse	s a l E ts> E
saletsweng	s a l E ts> w E N
saletswe	s a l E ts> w E
salwa	s a l w a
samaganang	s a m a x a n a N
samagana	s a m a x a n a
samente	s a m E n t> E
samorago	s a m O r a x O
sampoleng	s a m p> O l E N
sampole	s a m p> O l E
sana	s a n a
sanetasi	s a n E t> a s i
sankatane	s a n k> a t> a n E
santlha	s a n tlh a
santlhoko	s a n tlh O k> O
sarasara	s a r a s a r a
ša	S a
sasankang	s a s a n k> a N
sasanka	s a s a n k> a
satelaete	s a t> E l a E t> E
seabeng	s E a b E N
seabe	s E a b E
seaforikanse	s E a f O r i k> a n s E
seaforika	s E a f O r i k> a
seakatemi	s E a k> a t> E m i
seakong	s E a k> O N
seako	s E a k> O
sealogane	s E a l O x a n E
seane	s E a n E
searabia	s E a r a b i a
searolo	s E a r O l O
seatla	s E a tl> a
seatleng	s E a tl> E N
sebabole	s E b a b O l E
sebakabakeng	s E b a k> a b a k> E N
sebakanyana	s E b a k> a J a n a
sebaka	s E b a k> a
sebakeng	s E b a k> E N
sebako	s E b a k> O
sebalamakgolo	s E b a l a m a kx O l O
sebala	s E b a l a
sebare	s E b a r E
seba	s E b a
sebatanyana	s E b a t> a J a n a
sebedi	s E b E d i
sebego	s E b E x O
sebeka	s E b E k> a
sebela	s E b E l a
sebele	s E b E l E
sebe	s E b E
sebeteng	s E b E t> E N
sebete	s E b E t> E
sebetsa	s E b E ts> a
sebilo	s E b i l O
sebipo	s E b i p> O
sebi	s E b i
sebitlo	s E b i tl> O
sebofa	s E b O f a
sebofo	s E b O f O
sebokeng	s E b O k> E N
sebokophetlhi	s E b O k> O ph E tlh i
seboko	s E b O k> O
sebokosegi	s E b O k> O s E x i
sebokwana	s E b O k> w a n a
sebolai	s E b O l a i
sebolaya	s E b O l a j a
sebolokelong	s E b O l O k> E l O N
seboni	s E b O n i
sebono	s E b O n O
sebontshi	s E b O n tsh i
sebopegong	s E b O p> E x O N
sebopego	s E b O p> E x O
sebopiwa	s E b O p> i w a
sebueledi	s E b u E l E d i
sebui	s E b u i
sebuisegolo	s E b u i s E x O l O
sediba	s E d i b a
sedibeng	s E d i b E N
sedidi	s E d i d i
sedifala	s E d i f a l a
sedifatsa	s E d i f a ts> a
sedifatse	s E d i f a ts> E
sedifetseng	s E d i f E ts> E N
sedika	s E d i k> a
sedikeng	s E d i k> E N
sedikong	s E d i k> O N
sediko	s E d i k> O
sedimonthole	s E d i m O n th O l E
sedimosa	s E d i m O s a
sedimoseditsweng	s E d i m O s E d i ts> w E N
sedimoseditswe	s E d i m O s E d i ts> w E
sedimosediwang	s E d i m O s E d i w a N
sedimosediwa	s E d i m O s E d i w a
sedimosediwe	s E d i m O s E d i w E
sedimosetsa	s E d i m O s E ts> a
sedimositsweng	s E d i m O s i ts> w E N
sedimosiwa	s E d i m O s i w a
sediredi	s E d i r E d i
sediri	s E d i r i
sedirisiwa	s E d i r i s i w a
sediriso	s E d i r i s O
sediriswa	s E d i r i s w a
sedirwa	s E d i r w a
sedi	s E d i
sedisisa	s E d i s i s a
seditse	s E d i ts> E
sedumedi	s E d u m E d i
sedupe	s E d u p> E
seduting	s E d u t> i N
seduti	s E d u t> i
seedi	s E E d i
seela	s E E l a
seeledi	s E E l E d i
seelong	s E E l O N
seelo	s E E l O
seemedi	s E E m E d i
seemong	s E E m O N
seemo	s E E m O
seeng	s E E N
seesimaneng	s E E s i m a n E N
sefako	s E f a k> O
sefalana	s E f a l a n a
sefalaneng	s E f a l a n E N
sefala	s E f a l a
sefaleng	s E f a l E N
sefane	s E f a n E
sefapaano	s E f a p> a n O
sefa	s E f a
sefata	s E f a t> a
sefatlhegong	s E f a tlh E x O N
sefatlhego	s E f a tlh E x O
sefela	s E f E l a
sefelekwane	s E f E l E k> w a n E
sefe	s E f E
sefetisi	s E f E t> i s i
sefikantswe	s E f i k> a n ts> w E
sefitlholo	s E f i tlh O l O
sefofane	s E f O f a n E
sefofu	s E f O f u
sefolletse	s E f O l l E ts> E
sefololetse	s E f O l O l E ts> E
sefora	s E f O r a
sefo	s E f O
segagane	s E x a x a n E
segakolodi	s E x a k> O l O d i
segalo	s E x a l O
seganana	s E x a n a n a
segare	s E x a r E
segarona	s E x a r O n a
sega	s E x a
segaswa	s E x a s w a
segatlhamelamasisi	s E x a tlh a m E l a m a s i s i
segatsetsing	s E x a ts> E ts> i N
segatsetsi	s E x a ts> E ts> i
segela	s E x E l a
segelela	s E x E l E l a
segeng	s E x E N
segerika	s E x E r i k> a
segetse	s E x E ts> E
segile	s E x i l E
segilweng	s E x i l w E N
segiwang	s E x i w a N
segiwa	s E x i w a
segofaditswe	s E x O f a d i ts> w E
segofatse	s E x O f a ts> E
segogou	s E x O x O u
segokaganyi	s E x O k> a x a J i
segole	s E x O l E
segolobogolo	s E x O l O b O x O l O
segologolo	s E x O l O x O l O
segolosetonna	s E x O l O s E t> O n n a
segolo	s E x O l O
segolwane	s E x O l w a n E
segompieno	s E x O m p> i E n O
segongwana	s E x O N w a n a
segongwe	s E x O N w E
segopa	s E x O p> a
segopatsela	s E x O p> a ts> E l a
segopotso	s E x O p> O ts> O
segorong	s E x O r O N
segoro	s E x O r O
sego	s E x O
segosi	s E x O s i
segotlholo	s E x O tlh O l O
segotlong	s E x O tl> O N
segotlo	s E x O tl> O
segwagwa	s E x w a x w a
segwapa	s E x w a p> a
segwa	s E x w a
segwere	s E x w E r E
segwe	s E x w E
segwete	s E x w E t> E
sehubang	s E h u b a N
sehuba	s E h u b a
sehubeng	s E h u b E N
seinong	s E i n O N
seipato	s E i p> a t> O
seiphemelo	s E i ph E m E l O
seipone	s E i p> O n E
seisamadi	s E i s a m a d i
seithati	s E i th a t> i
seitshwarelelo	s E i tsh w a r E l E l O
sejalong	s E d0Z a l O N
sejalo	s E d0Z a l O
sejanaga	s E d0Z a n a x a
sejanageng	s E d0Z a n a x E N
sejana	s E d0Z a n a
sejaneng	s E d0Z a n E N
sejaro	s E d0Z a r O
sejatlhapi	s E d0Z a tlh a p> i
sejene	s E d0Z E n E
sejeremane	s E d0Z E r E m a n E
sejo	s E d0Z O
sejwalejwale	s E d0Z w a l E d0Z w a l E
sejwalo	s E d0Z w a l O
sekaelo	s E k> a E l O
sekaenyana	s E k> a E J a n a
sekae	s E k> a E
sekai	s E k> a i
sekaka	s E k> a k> a
sekala	s E k> a l a
sekaleng	s E k> a l E N
sekale	s E k> a l E
sekama	s E k> a m a
sekamela	s E k> a m E l a
sekametseng	s E k> a m E ts> E N
sekametse	s E k> a m E ts> E
sekano	s E k> a n O
sekaong	s E k> a O N
sekao	s E k> a O
sekapolelo	s E k> a p> O l E l O
sekapuo	s E k> a p> u O
sekara	s E k> a r a
seka	s E k> a
sekasekang	s E k> a s E k> a N
sekaseka	s E k> a s E k> a
sekasekelwang	s E k> a s E k> E l w a N
sekasekelwa	s E k> a s E k> E l w a
sekasekeng	s E k> a s E k> E N
sekaseke	s E k> a s E k> E
sekasekileng	s E k> a s E k> i l E N
sekasekile	s E k> a s E k> i l E
sekasekilweng	s E k> a s E k> i l w E N
sekasekilwe	s E k> a s E k> i l w E
sekasekiwang	s E k> a s E k> i w a N
sekasekiwa	s E k> a s E k> i w a
sekasekiwe	s E k> a s E k> i w E
sekasekwang	s E k> a s E k> w a N
sekasekwa	s E k> a s E k> w a
sekasekwe	s E k> a s E k> w E
sekega	s E k> E x a
sekegelwa	s E k> E x E l w a
sekegilweng	s E k> E x i l w E N
sekegilwe	s E k> E x i l w E
sekeletsa	s E k> E l E ts> a
sekeng	s E k> E N
sekepeng	s E k> E p> E N
sekepe	s E k> E p> E
sekere	s E k> E r E
sekeresete	s E k> E r E s E t> E
seke	s E k> E
sekete	s E k> E t> E
sekgala	s E kx a l a
sekgaleng	s E kx a l E N
sekgamung	s E kx a m u N
sekgamu	s E kx a m u
sekganela	s E kx a n E l a
sekgele	s E kx E l E
sekgemetšhana	s E kx E m E tSh a n a
sekgemetšhaneng	s E kx E m E tSh a n E N
sekgemetšhane	s E kx E m E tSh a n E
sekgoa	s E kx O a
sekgoeng	s E kx O E N
sekgomaretsi	s E kx O m a r E ts> i
sekgono	s E kx O n O
sekgontshi	s E kx O n tsh i
sekgopi	s E kx O p> i
sekgoreletsi	s E kx O r E l E ts> i
sekgoropa	s E kx O r O p> a
sekgoropeng	s E kx O r O p> E N
sekgowa	s E kx O w a
sekgwage	s E kx w a x E
sekgwamana	s E kx w a m a n a
sekgwama	s E kx w a m a
sekgwameng	s E kx w a m E N
sekgwa	s E kx w a
sekgweng	s E kx w E N
sekhi	s E kh i
sekhoi	s E kh O i
sekhukhu	s E kh u kh u
sekhurumelo	s E kh u r u m E l O
sekhutlong	s E kh u tl> O N
sekhutlo	s E kh u tl> O
sekhutlwana	s E kh u tl> w a n a
sekhutshwane	s E kh u tsh w a n E
sekileng	s E k> i l E N
sekisa	s E k> i s a
sekisediwa	s E k> i s E d i w a
sekisiwa	s E k> i s i w a
sekisiwe	s E k> i s i w E
sekiwa	s E k> i w a
sekokoro	s E k> O k> O r O
sekolong	s E k> O l O N
sekolosegolong	s E k> O l O s E x O l O N
sekolosegolo	s E k> O l O s E x O l O
sekolotong	s E k> O l O t> O N
sekoloto	s E k> O l O t> O
sekontari	s E k> O n t> a r i
sekopa	s E k> O p> a
sekorolo	s E k> O r O l O
sekupung	s E k> u p> u N
sekurufu	s E k> u r u f u
sekwaereng	s E k> w a E r E N
sekwalo	s E k> w a l O
sekwalwa	s E k> w a l w a
sekwang	s E k> w a N
sekwa	s E k> w a
sekwaše	s E k> w a S E
sekwere	s E k> w E r E
selaole	s E l a O l E
sela	s E l a
selebalo	s E l E b a l O
selebo	s E l E b O
seledung	s E l E d u N
seledu	s E l E d u
seleejana	s E l E E d0Z a n a
seleele	s E l E E l E
selefatshe	s E l E f a tsh E
selefera	s E l E f E r a
selegaeng	s E l E x a E N
selegae	s E l E x a E
selei	s E l E i
selekane	s E l E k> a n E
selekanong	s E l E k> a n O N
selekano	s E l E k> a n O
selekanyetsi	s E l E k> a J E ts> i
selekanyetso	s E l E k> a J E ts> O
selekanyi	s E l E k> a J i
selekanyong	s E l E k> a J O N
selekanyo	s E l E k> a J O
selekwa	s E l E k> w a
selelong	s E l E l O N
selelo	s E l E l O
selemong	s E l E m O N
selemo	s E l E m O
seleng	s E l E N
selennere	s E l E n n E r E
selepe	s E l E p> E
sele	s E l E
seletswa	s E l E ts> w a
sello	s E l l O
seloago	s E l O a x O
seloko	s E l O k> O
selomelakobong	s E l O m E l a k> O b O N
selonyana	s E l O J a n a
selo	s E l O
selotlele	s E l O tl> E l E
selwana	s E l w a n a
selwaneng	s E l w a n E N
selwa	s E l w a
selwelwa	s E l w E l w a
semanego	s E m a n E x O
semane	s E m a n E
šema	S E m a
semathana	s E m a th a n a
sematla	s E m a tl> a
semelafa	s E m E l a f a
semela	s E m E l a
semelela	s E m E l E l a
semeleleng	s E m E l E l E N
semelele	s E m E l E l E
semeletseng	s E m E l E ts> E N
semeletse	s E m E l E ts> E
semelo	s E m E l O
semenogane	s E m E n O x a n E
seme	s E m E
semeto	s E m E t> O
semikana	s E m i k> a n a
seminara	s E m i n a r a
semmusong	s E m m u s O N
semmuso	s E m m u s O
semolao	s E m O l a O
semolaotheo	s E m O l a O th E O
semorafeng	s E m O r a f E N
semorafe	s E m O r a f E
semowa	s E m O w a
semphatong	s E m ph a t> O N
semphato	s E m ph a t> O
semphete	s E m ph E t> E
senama	s E n a m a
sena	s E n a
senata	s E n a t> a
senatla	s E n a tl> a
senepe	s E n E p> E
senete	s E n E t> E
seng	s E N
sengwagapedi	s E N w a x a p> E d i
sengwaga	s E N w a x a
sengweng	s E N w E N
sengwenyana	s E N w E J a n a
sengwe	s E N w E
senka	s E n k> a
senkela	s E n k> E l a
senkele	s E n k> E l E
senkgwe	s E n kx w E
senngwang	s E n N w a N
senngwa	s E n N w a
senngwe	s E n N w E
sennye	s E n J E
senoga	s E n O x a
senoge	s E n O x E
senokwane	s E n O k> w a n E
senolang	s E n O l a N
senola	s E n O l a
senolela	s E n O l E l a
senole	s E n O l E
senolwang	s E n O l w a N
senolwa	s E n O l w a
senolwe	s E n O l w E
senonnori	s E n O n n O r i
seno	s E n O
